energy, R80,A,B,C
226.2,323.49,1.064E-06,-2.471E-03,5.925E+00

depth,sigma,idd
0.00,-2.12,63.88
1.00,-2.12,64.90
2.00,-2.12,65.52
3.00,-2.12,65.97
4.00,-2.11,66.32
5.00,-2.11,66.59
6.00,-2.11,66.83
7.00,-2.10,67.09
8.00,-2.10,67.31
9.00,-2.10,67.54
10.00,-2.10,67.71
11.00,-2.09,67.89
12.00,-2.09,68.11
13.00,-2.09,68.33
14.00,-2.09,68.51
15.00,-2.09,68.68
16.00,-2.08,68.66
17.00,-2.08,68.77
18.00,-2.08,68.92
19.00,-2.08,69.07
20.00,-2.08,69.20
21.00,-2.08,69.27
22.00,-2.07,69.41
23.00,-2.07,69.56
24.00,-2.07,69.73
25.00,-2.07,69.85
26.00,-2.07,69.95
27.00,-2.06,70.11
28.00,-2.06,70.23
29.00,-2.06,70.38
30.00,-2.06,70.51
31.00,-2.06,70.58
32.00,-2.05,70.70
33.00,-2.05,70.83
34.00,-2.05,70.95
35.00,-2.05,71.04
36.00,-2.04,71.22
37.00,-2.04,71.30
38.00,-2.04,71.47
39.00,-2.04,71.60
40.00,-2.04,71.73
41.00,-2.03,71.83
42.00,-2.03,71.94
43.00,-2.03,72.08
44.00,-2.03,72.18
45.00,-2.02,72.30
46.00,-2.02,72.43
47.00,-2.02,72.52
48.00,-2.02,72.64
49.00,-2.01,72.76
50.00,-2.01,72.89
51.00,-2.01,72.95
52.00,-2.00,73.11
53.00,-2.00,73.15
54.00,-2.00,73.34
55.00,-2.00,73.37
56.00,-1.99,73.48
57.00,-1.99,73.56
58.00,-1.99,73.67
59.00,-1.98,73.76
60.00,-1.98,73.85
61.00,-1.98,73.95
62.00,-1.97,74.00
63.00,-1.97,74.09
64.00,-1.97,74.17
65.00,-1.96,74.25
66.00,-1.96,74.32
67.00,-1.96,74.43
68.00,-1.95,74.52
69.00,-1.95,74.57
70.00,-1.94,74.62
71.00,-1.94,74.68
72.00,-1.94,74.75
73.00,-1.93,74.79
74.00,-1.93,74.88
75.00,-1.92,74.96
76.00,-1.92,75.01
77.00,-1.91,75.06
78.00,-1.91,75.11
79.00,-1.91,75.16
80.00,-1.90,75.20
81.00,-1.90,75.31
82.00,-1.89,75.38
83.00,-1.89,75.45
84.00,-1.88,75.51
85.00,-1.88,75.58
86.00,-1.87,75.66
87.00,-1.86,75.69
88.00,-1.86,75.79
89.00,-1.85,75.88
90.00,-1.85,75.93
91.00,-1.84,76.01
92.00,-1.84,76.07
93.00,-1.83,76.12
94.00,-1.83,76.22
95.00,-1.82,76.28
96.00,-1.81,76.37
97.00,-1.81,76.46
98.00,-1.80,76.47
99.00,-1.79,76.60
100.00,-1.79,76.65
101.00,-1.78,76.73
102.00,-1.77,76.78
103.00,-1.77,76.80
104.00,-1.76,76.83
105.00,-1.75,76.87
106.00,-1.75,76.93
107.00,-1.74,76.97
108.00,-1.73,77.03
109.00,-1.73,77.12
110.00,-1.72,77.15
111.00,-1.71,77.20
112.00,-1.70,77.29
113.00,-1.70,77.36
114.00,-1.69,77.40
115.00,-1.68,77.46
116.00,-1.67,77.52
117.00,-1.66,77.60
118.00,-1.66,77.68
119.00,-1.65,77.75
120.00,-1.64,77.84
121.00,-1.63,77.90
122.00,-1.62,77.98
123.00,-1.61,78.07
124.00,-1.60,78.13
125.00,-1.59,78.21
126.00,-1.58,78.28
127.00,-1.57,78.32
128.00,-1.57,78.40
129.00,-1.56,78.48
130.00,-1.55,78.60
131.00,-1.54,78.65
132.00,-1.53,78.72
133.00,-1.52,78.81
134.00,-1.51,78.88
135.00,-1.50,78.97
136.00,-1.49,79.05
137.00,-1.47,79.16
138.00,-1.46,79.25
139.00,-1.45,79.32
140.00,-1.44,79.40
141.00,-1.43,79.48
142.00,-1.42,79.54
143.00,-1.41,79.63
144.00,-1.40,79.73
145.00,-1.39,79.79
146.00,-1.38,79.87
147.00,-1.37,79.95
148.00,-1.35,80.02
149.00,-1.34,80.12
150.00,-1.33,80.20
151.00,-1.32,80.30
152.00,-1.31,80.40
153.00,-1.29,80.50
154.00,-1.28,80.59
155.00,-1.27,80.69
156.00,-1.25,80.79
157.00,-1.24,80.90
158.00,-1.23,81.02
159.00,-1.21,81.08
160.00,-1.20,81.18
161.00,-1.19,81.28
162.00,-1.17,81.39
163.00,-1.16,81.49
164.00,-1.15,81.59
165.00,-1.13,81.70
166.00,-1.12,81.78
167.00,-1.10,81.88
168.00,-1.09,82.00
169.00,-1.07,82.13
170.00,-1.06,82.23
171.00,-1.04,82.31
172.00,-1.03,82.41
173.00,-1.01,82.55
174.00,-1.00,82.61
175.00,-0.98,82.73
176.00,-0.97,82.81
177.00,-0.95,82.94
178.00,-0.93,83.05
179.00,-0.92,83.15
180.00,-0.90,83.24
181.00,-0.89,83.38
182.00,-0.87,83.47
183.00,-0.85,83.59
184.00,-0.84,83.71
185.00,-0.82,83.82
186.00,-0.80,83.94
187.00,-0.79,84.04
188.00,-0.77,84.12
189.00,-0.75,84.22
190.00,-0.73,84.31
191.00,-0.72,84.43
192.00,-0.70,84.53
193.00,-0.68,84.63
194.00,-0.66,84.74
195.00,-0.64,84.90
196.00,-0.63,85.02
197.00,-0.61,85.14
198.00,-0.59,85.27
199.00,-0.57,85.39
200.00,-0.55,85.51
201.00,-0.53,85.61
202.00,-0.51,85.77
203.00,-0.49,85.91
204.00,-0.47,86.02
205.00,-0.46,86.15
206.00,-0.44,86.31
207.00,-0.42,86.45
208.00,-0.40,86.60
209.00,-0.38,86.74
210.00,-0.36,86.91
211.00,-0.33,87.07
212.00,-0.31,87.23
213.00,-0.29,87.39
214.00,-0.27,87.56
215.00,-0.25,87.73
216.00,-0.23,87.91
217.00,-0.21,88.11
218.00,-0.19,88.27
219.00,-0.17,88.48
220.00,-0.14,88.65
221.00,-0.12,88.83
222.00,-0.10,89.02
223.00,-0.08,89.21
224.00,-0.06,89.42
225.00,-0.03,89.63
226.00,-0.01,89.84
227.00,0.01,90.07
228.00,0.04,90.29
229.00,0.06,90.54
230.00,0.08,90.74
231.00,0.11,90.96
232.00,0.13,91.20
233.00,0.15,91.40
234.00,0.18,91.61
235.00,0.20,91.90
236.00,0.22,92.14
237.00,0.25,92.35
238.00,0.27,92.61
239.00,0.30,92.88
240.00,0.32,93.15
241.00,0.35,93.42
242.00,0.37,93.68
243.00,0.40,93.95
244.00,0.42,94.22
245.00,0.45,94.53
246.00,0.47,94.79
247.00,0.50,95.11
248.00,0.52,95.41
249.00,0.55,95.76
250.00,0.58,96.06
251.00,0.60,96.40
252.00,0.63,96.75
253.00,0.66,97.10
254.00,0.68,97.44
255.00,0.71,97.83
256.00,0.74,98.20
257.00,0.77,98.61
258.00,0.79,99.00
259.00,0.82,99.41
260.00,0.85,99.83
261.00,0.88,100.26
262.00,0.90,100.71
263.00,0.93,101.16
264.00,0.96,101.64
265.00,0.99,102.14
266.00,1.02,102.65
267.00,1.05,103.15
268.00,1.07,103.66
269.00,1.10,104.22
270.00,1.13,104.83
271.00,1.16,105.42
272.00,1.19,106.04
273.00,1.22,106.68
274.00,1.25,107.36
275.00,1.28,108.04
276.00,1.31,108.78
277.00,1.35,109.51
278.00,1.38,110.27
279.00,1.41,111.04
280.00,1.44,111.84
281.00,1.47,112.67
282.00,1.50,113.54
283.00,1.53,114.46
284.00,1.57,115.37
285.00,1.60,116.35
286.00,1.63,117.36
287.00,1.66,118.43
288.00,1.70,119.53
289.00,1.73,120.69
290.00,1.76,121.87
291.00,1.80,123.11
292.00,1.83,124.43
293.00,1.87,125.82
294.00,1.90,127.28
295.00,1.94,128.85
296.00,1.97,130.49
297.00,2.01,132.26
298.00,2.04,134.10
299.00,2.08,136.08
300.00,2.11,138.21
301.00,2.15,140.48
302.00,2.19,142.95
303.00,2.23,145.63
304.00,2.27,148.51
305.00,2.31,151.72
306.00,2.35,155.23
307.00,2.38,159.08
308.00,2.43,163.41
309.00,2.47,168.21
310.00,2.51,173.66
311.00,2.56,179.89
312.00,2.60,187.06
313.00,2.65,195.34
314.00,2.70,205.03
315.00,2.74,216.25
316.00,2.78,228.75
317.00,2.81,242.03
318.00,2.84,254.68
319.00,2.84,264.54
320.00,2.84,268.94
321.00,2.83,265.16
322.00,2.81,251.41
323.00,2.79,227.53
324.00,2.76,195.41
325.00,2.73,158.40
326.00,2.70,120.76
327.00,2.67,86.43
328.00,2.64,57.90
329.00,2.61,36.31
330.00,3.00,21.21
331.00,3.00,11.61
332.00,3.00,5.92
333.00,3.00,2.83
334.00,3.00,1.26
335.00,3.00,0.52
336.00,3.00,0.20
337.00,3.00,0.07
338.00,3.00,0.02
339.00,3.00,0.01
340.00,3.00,0.00
341.00,3.00,0.00
342.00,3.00,0.00
343.00,3.00,0.00
344.00,3.00,0.00
345.00,3.00,0.00
346.00,3.00,0.00
347.00,3.00,0.00
348.00,3.00,0.00
349.00,3.00,0.00
350.00,3.00,0.00
351.00,3.00,0.00
352.00,3.00,0.00
353.00,3.00,0.00
354.00,3.00,0.00
355.00,3.00,0.00
356.00,3.00,0.00
357.00,3.00,0.00
358.00,3.00,0.00
359.00,3.00,0.00
360.00,3.00,0.00
361.00,3.00,0.00
362.00,3.00,0.00
363.00,3.00,0.00
364.00,3.00,0.00
365.00,3.00,0.00
366.00,3.00,0.00
367.00,3.00,0.00
368.00,3.00,0.00
369.00,3.00,0.00
370.00,3.00,0.00
371.00,3.00,0.00
372.00,3.00,0.00
373.00,3.00,0.00
374.00,3.00,0.00
375.00,3.00,0.00
376.00,3.00,0.00
377.00,3.00,0.00
378.00,3.00,0.00
379.00,3.00,0.00
380.00,3.00,0.00
381.00,3.00,0.00
382.00,3.00,0.00
383.00,3.00,0.00
384.00,3.00,0.00
385.00,3.00,0.00
386.00,3.00,0.00
387.00,3.00,0.00
388.00,3.00,0.00
389.00,3.00,0.00
390.00,3.00,0.00
391.00,3.00,0.00
392.00,3.00,0.00
393.00,3.00,0.00
394.00,3.00,0.00
395.00,3.00,0.00
396.00,3.00,0.00
397.00,3.00,0.00
398.00,3.00,0.00
399.00,3.00,0.00
400.00,3.00,0.00
