energy, R80,A,B,C
223.7,278.95,3.003E-06,-2.427E-03,2.301E+00

depth,sigma,idd
0.00,-2.52,65.35
1.00,-2.51,66.00
2.00,-2.50,66.45
3.00,-2.49,66.76
4.00,-2.48,67.06
5.00,-2.47,67.34
6.00,-2.47,67.58
7.00,-2.46,67.80
8.00,-2.45,68.01
9.00,-2.44,68.21
10.00,-2.43,68.41
11.00,-2.42,68.61
12.00,-2.41,68.81
13.00,-2.40,69.02
14.00,-2.39,69.17
15.00,-2.39,69.29
16.00,-2.38,69.45
17.00,-2.37,69.61
18.00,-2.36,69.77
19.00,-2.35,69.90
20.00,-2.34,70.06
21.00,-2.33,70.20
22.00,-2.33,70.33
23.00,-2.32,70.47
24.00,-2.31,70.64
25.00,-2.30,70.78
26.00,-2.29,70.91
27.00,-2.28,71.05
28.00,-2.27,71.18
29.00,-2.27,71.31
30.00,-2.26,71.41
31.00,-2.25,71.52
32.00,-2.24,71.64
33.00,-2.23,71.75
34.00,-2.23,71.89
35.00,-2.22,72.02
36.00,-2.21,72.12
37.00,-2.20,72.23
38.00,-2.19,72.31
39.00,-2.18,72.41
40.00,-2.17,72.51
41.00,-2.17,72.63
42.00,-2.16,72.76
43.00,-2.15,72.87
44.00,-2.14,72.96
45.00,-2.13,73.02
46.00,-2.12,73.12
47.00,-2.11,73.26
48.00,-2.11,73.38
49.00,-2.10,73.50
50.00,-2.09,73.59
51.00,-2.08,73.68
52.00,-2.07,73.77
53.00,-2.06,73.88
54.00,-2.05,73.96
55.00,-2.04,74.05
56.00,-2.04,74.16
57.00,-2.03,74.26
58.00,-2.02,74.35
59.00,-2.01,74.42
60.00,-2.00,74.52
61.00,-1.99,74.63
62.00,-1.98,74.75
63.00,-1.97,74.85
64.00,-1.96,74.93
65.00,-1.95,75.01
66.00,-1.94,75.08
67.00,-1.93,75.18
68.00,-1.92,75.29
69.00,-1.91,75.38
70.00,-1.90,75.45
71.00,-1.89,75.54
72.00,-1.88,75.61
73.00,-1.87,75.70
74.00,-1.86,75.82
75.00,-1.85,75.91
76.00,-1.84,76.00
77.00,-1.83,76.08
78.00,-1.82,76.15
79.00,-1.81,76.25
80.00,-1.80,76.33
81.00,-1.79,76.43
82.00,-1.78,76.53
83.00,-1.77,76.62
84.00,-1.76,76.67
85.00,-1.75,76.76
86.00,-1.74,76.87
87.00,-1.73,76.99
88.00,-1.72,77.09
89.00,-1.70,77.20
90.00,-1.69,77.30
91.00,-1.68,77.40
92.00,-1.67,77.50
93.00,-1.66,77.61
94.00,-1.65,77.71
95.00,-1.63,77.79
96.00,-1.62,77.88
97.00,-1.61,77.96
98.00,-1.60,78.06
99.00,-1.59,78.16
100.00,-1.58,78.23
101.00,-1.56,78.35
102.00,-1.55,78.43
103.00,-1.54,78.51
104.00,-1.53,78.59
105.00,-1.52,78.68
106.00,-1.50,78.77
107.00,-1.49,78.87
108.00,-1.48,78.99
109.00,-1.47,79.12
110.00,-1.45,79.24
111.00,-1.44,79.33
112.00,-1.43,79.46
113.00,-1.41,79.60
114.00,-1.40,79.72
115.00,-1.39,79.83
116.00,-1.37,79.94
117.00,-1.36,80.04
118.00,-1.35,80.18
119.00,-1.33,80.31
120.00,-1.32,80.42
121.00,-1.30,80.55
122.00,-1.29,80.65
123.00,-1.28,80.76
124.00,-1.26,80.86
125.00,-1.25,80.97
126.00,-1.23,81.07
127.00,-1.22,81.19
128.00,-1.20,81.31
129.00,-1.19,81.43
130.00,-1.17,81.54
131.00,-1.16,81.64
132.00,-1.14,81.77
133.00,-1.13,81.89
134.00,-1.11,82.00
135.00,-1.10,82.10
136.00,-1.09,82.20
137.00,-1.07,82.34
138.00,-1.05,82.45
139.00,-1.04,82.56
140.00,-1.02,82.69
141.00,-1.01,82.81
142.00,-0.99,82.93
143.00,-0.97,83.02
144.00,-0.96,83.10
145.00,-0.94,83.22
146.00,-0.93,83.35
147.00,-0.91,83.48
148.00,-0.89,83.60
149.00,-0.88,83.72
150.00,-0.86,83.87
151.00,-0.84,84.00
152.00,-0.83,84.15
153.00,-0.81,84.27
154.00,-0.79,84.41
155.00,-0.78,84.53
156.00,-0.76,84.67
157.00,-0.74,84.79
158.00,-0.72,84.92
159.00,-0.71,85.06
160.00,-0.69,85.20
161.00,-0.67,85.36
162.00,-0.65,85.50
163.00,-0.64,85.66
164.00,-0.62,85.81
165.00,-0.60,85.97
166.00,-0.58,86.12
167.00,-0.56,86.26
168.00,-0.54,86.42
169.00,-0.53,86.60
170.00,-0.51,86.77
171.00,-0.49,86.95
172.00,-0.47,87.11
173.00,-0.45,87.28
174.00,-0.43,87.46
175.00,-0.41,87.64
176.00,-0.39,87.83
177.00,-0.37,88.03
178.00,-0.35,88.24
179.00,-0.33,88.42
180.00,-0.31,88.60
181.00,-0.29,88.80
182.00,-0.27,89.01
183.00,-0.26,89.25
184.00,-0.23,89.46
185.00,-0.21,89.66
186.00,-0.19,89.87
187.00,-0.17,90.08
188.00,-0.15,90.30
189.00,-0.13,90.54
190.00,-0.11,90.76
191.00,-0.09,91.00
192.00,-0.07,91.23
193.00,-0.05,91.48
194.00,-0.03,91.73
195.00,-0.01,91.98
196.00,0.02,92.23
197.00,0.04,92.50
198.00,0.06,92.77
199.00,0.08,93.05
200.00,0.10,93.32
201.00,0.13,93.62
202.00,0.15,93.92
203.00,0.17,94.23
204.00,0.19,94.54
205.00,0.21,94.85
206.00,0.24,95.18
207.00,0.26,95.52
208.00,0.28,95.86
209.00,0.30,96.21
210.00,0.33,96.56
211.00,0.35,96.94
212.00,0.37,97.33
213.00,0.40,97.71
214.00,0.42,98.12
215.00,0.45,98.52
216.00,0.47,98.95
217.00,0.49,99.39
218.00,0.52,99.84
219.00,0.54,100.28
220.00,0.57,100.75
221.00,0.59,101.25
222.00,0.61,101.74
223.00,0.64,102.26
224.00,0.67,102.79
225.00,0.69,103.36
226.00,0.72,103.94
227.00,0.74,104.54
228.00,0.77,105.16
229.00,0.79,105.82
230.00,0.82,106.47
231.00,0.85,107.17
