energy, R80,A,B,C
203,230.00,2.945E-06,-9.037E-04,8.685E-02

depth,sigma,idd
0.00,-2.13,66.09
1.00,-2.13,66.74
2.00,-2.12,67.20
3.00,-2.11,67.54
4.00,-2.10,67.87
5.00,-2.09,68.18
6.00,-2.07,68.40
7.00,-2.06,68.63
8.00,-2.05,68.87
9.00,-2.04,69.07
10.00,-2.03,69.28
11.00,-2.03,69.47
12.00,-2.02,69.63
13.00,-2.01,69.81
14.00,-2.00,70.00
15.00,-1.99,70.20
16.00,-1.98,70.37
17.00,-1.97,70.53
18.00,-1.96,70.72
19.00,-1.95,70.89
20.00,-1.94,71.04
21.00,-1.93,71.21
22.00,-1.92,71.35
23.00,-1.91,71.53
24.00,-1.90,71.70
25.00,-1.89,71.86
26.00,-1.88,71.99
27.00,-1.87,72.14
28.00,-1.86,72.29
29.00,-1.85,72.42
30.00,-1.84,72.57
31.00,-1.83,72.71
32.00,-1.82,72.88
33.00,-1.81,73.03
34.00,-1.81,73.15
35.00,-1.80,73.30
36.00,-1.79,73.46
37.00,-1.78,73.58
38.00,-1.77,73.71
39.00,-1.76,73.87
40.00,-1.75,73.99
41.00,-1.74,74.14
42.00,-1.73,74.31
43.00,-1.72,74.46
44.00,-1.71,74.58
45.00,-1.70,74.71
46.00,-1.69,74.86
47.00,-1.68,75.00
48.00,-1.67,75.14
49.00,-1.66,75.27
50.00,-1.65,75.39
51.00,-1.64,75.52
52.00,-1.63,75.65
53.00,-1.62,75.78
54.00,-1.61,75.93
55.00,-1.60,76.09
56.00,-1.59,76.20
57.00,-1.58,76.31
58.00,-1.57,76.40
59.00,-1.56,76.52
60.00,-1.55,76.64
61.00,-1.53,76.77
62.00,-1.52,76.92
63.00,-1.51,77.06
64.00,-1.50,77.15
65.00,-1.49,77.26
66.00,-1.48,77.39
67.00,-1.47,77.52
68.00,-1.46,77.67
69.00,-1.45,77.78
70.00,-1.44,77.89
71.00,-1.42,78.03
72.00,-1.41,78.19
73.00,-1.40,78.35
74.00,-1.39,78.49
75.00,-1.38,78.65
76.00,-1.37,78.81
77.00,-1.35,78.96
78.00,-1.34,79.11
79.00,-1.33,79.27
80.00,-1.32,79.42
81.00,-1.30,79.57
82.00,-1.29,79.73
83.00,-1.28,79.91
84.00,-1.26,80.06
85.00,-1.25,80.21
86.00,-1.24,80.37
87.00,-1.23,80.52
88.00,-1.21,80.66
89.00,-1.20,80.81
90.00,-1.19,80.96
91.00,-1.17,81.13
92.00,-1.16,81.29
93.00,-1.15,81.43
94.00,-1.13,81.58
95.00,-1.12,81.73
96.00,-1.11,81.87
97.00,-1.09,82.03
98.00,-1.08,82.19
99.00,-1.06,82.38
100.00,-1.05,82.55
101.00,-1.04,82.72
102.00,-1.02,82.87
103.00,-1.01,83.03
104.00,-0.99,83.19
105.00,-0.98,83.35
106.00,-0.96,83.51
107.00,-0.95,83.66
108.00,-0.93,83.82
109.00,-0.92,83.97
110.00,-0.90,84.12
111.00,-0.89,84.26
112.00,-0.87,84.42
113.00,-0.86,84.59
114.00,-0.84,84.76
115.00,-0.83,84.92
116.00,-0.81,85.10
117.00,-0.80,85.25
118.00,-0.78,85.42
119.00,-0.76,85.60
120.00,-0.75,85.76
121.00,-0.73,85.95
