energy, R80,A,B,C
182.7,223.45,1.553E-06,-3.309E-03,5.333E+00

depth,sigma,idd
0.00,-1.28,64.08
1.00,-1.28,64.90
2.00,-1.28,65.44
3.00,-1.27,65.86
4.00,-1.27,66.20
5.00,-1.27,66.50
6.00,-1.26,66.76
7.00,-1.26,67.02
8.00,-1.26,67.27
9.00,-1.25,67.51
10.00,-1.25,67.70
11.00,-1.25,67.90
12.00,-1.25,68.13
13.00,-1.25,68.33
14.00,-1.24,68.52
15.00,-1.24,68.72
16.00,-1.24,68.92
17.00,-1.23,69.10
18.00,-1.23,69.30
19.00,-1.23,69.46
20.00,-1.23,69.65
21.00,-1.23,69.82
22.00,-1.22,70.02
23.00,-1.22,70.17
24.00,-1.22,70.33
25.00,-1.22,70.53
26.00,-1.21,70.71
27.00,-1.21,70.88
28.00,-1.21,71.08
29.00,-1.21,71.28
30.00,-1.20,71.47
31.00,-1.20,71.65
32.00,-1.20,71.86
33.00,-1.19,72.07
34.00,-1.19,72.22
35.00,-1.19,72.43
36.00,-1.18,72.63
37.00,-1.18,72.71
38.00,-1.18,72.95
39.00,-1.18,73.05
40.00,-1.17,73.27
41.00,-1.17,73.43
42.00,-1.17,73.59
43.00,-1.16,73.76
44.00,-1.16,73.90
45.00,-1.15,74.02
46.00,-1.15,74.18
47.00,-1.15,74.30
48.00,-1.14,74.46
49.00,-1.14,74.63
50.00,-1.14,74.80
51.00,-1.13,74.93
52.00,-1.13,75.05
53.00,-1.12,75.19
54.00,-1.12,75.35
55.00,-1.11,75.48
56.00,-1.11,75.61
57.00,-1.11,75.74
58.00,-1.10,75.87
59.00,-1.10,76.02
60.00,-1.09,76.16
61.00,-1.09,76.29
62.00,-1.08,76.44
63.00,-1.08,76.59
64.00,-1.07,76.75
65.00,-1.07,76.91
66.00,-1.06,77.03
67.00,-1.06,77.17
68.00,-1.05,77.29
69.00,-1.05,77.43
70.00,-1.04,77.55
71.00,-1.03,77.69
72.00,-1.03,77.91
73.00,-1.02,78.02
74.00,-1.02,78.14
75.00,-1.01,78.29
76.00,-1.00,78.41
77.00,-1.00,78.61
78.00,-0.99,78.77
79.00,-0.98,78.93
80.00,-0.98,79.11
81.00,-0.97,79.28
82.00,-0.96,79.39
83.00,-0.96,79.56
84.00,-0.95,79.73
85.00,-0.94,79.88
86.00,-0.93,80.04
87.00,-0.93,80.21
88.00,-0.92,80.36
89.00,-0.91,80.48
90.00,-0.90,80.59
91.00,-0.89,80.72
92.00,-0.88,80.88
93.00,-0.88,81.03
94.00,-0.87,81.16
95.00,-0.86,81.28
96.00,-0.85,81.49
97.00,-0.84,81.66
98.00,-0.83,81.83
99.00,-0.82,81.99
100.00,-0.81,82.15
101.00,-0.80,82.31
102.00,-0.79,82.48
103.00,-0.78,82.66
104.00,-0.77,82.83
105.00,-0.76,83.04
106.00,-0.75,83.19
107.00,-0.74,83.40
108.00,-0.73,83.59
109.00,-0.72,83.78
110.00,-0.71,83.99
111.00,-0.70,84.15
112.00,-0.69,84.33
113.00,-0.67,84.51
114.00,-0.66,84.69
115.00,-0.65,84.87
116.00,-0.64,85.06
117.00,-0.63,85.25
118.00,-0.61,85.48
119.00,-0.60,85.67
120.00,-0.59,85.90
121.00,-0.57,86.13
122.00,-0.56,86.32
123.00,-0.55,86.56
124.00,-0.54,86.76
125.00,-0.52,86.97
126.00,-0.51,87.23
127.00,-0.49,87.46
128.00,-0.48,87.72
129.00,-0.47,87.96
130.00,-0.45,88.19
131.00,-0.44,88.42
132.00,-0.42,88.65
133.00,-0.41,88.89
134.00,-0.39,89.14
135.00,-0.38,89.40
136.00,-0.36,89.66
137.00,-0.34,89.92
138.00,-0.33,90.18
139.00,-0.31,90.47
140.00,-0.30,90.73
141.00,-0.28,91.01
142.00,-0.26,91.30
143.00,-0.25,91.60
144.00,-0.23,91.90
145.00,-0.21,92.20
146.00,-0.19,92.51
147.00,-0.18,92.83
148.00,-0.16,93.16
149.00,-0.14,93.50
150.00,-0.12,93.85
151.00,-0.10,94.20
152.00,-0.08,94.52
153.00,-0.07,94.91
154.00,-0.05,95.30
155.00,-0.03,95.70
156.00,-0.01,96.14
157.00,0.01,96.53
158.00,0.03,96.96
159.00,0.05,97.37
160.00,0.07,97.79
161.00,0.09,98.23
162.00,0.11,98.69
163.00,0.14,99.14
164.00,0.16,99.63
165.00,0.18,100.15
166.00,0.20,100.66
167.00,0.22,101.21
168.00,0.24,101.78
169.00,0.27,102.40
170.00,0.29,102.99
171.00,0.31,103.59
172.00,0.34,104.20
173.00,0.36,104.81
174.00,0.38,105.40
175.00,0.41,106.00
176.00,0.43,106.69
177.00,0.45,107.43
178.00,0.48,108.17
179.00,0.50,108.94
180.00,0.53,109.76
181.00,0.55,110.61
182.00,0.58,111.47
183.00,0.60,112.37
184.00,0.63,113.28
185.00,0.66,114.21
186.00,0.68,115.21
187.00,0.71,116.23
188.00,0.74,117.31
189.00,0.76,118.47
190.00,0.79,119.66
191.00,0.82,120.97
192.00,0.85,122.31
193.00,0.88,123.74
194.00,0.90,125.20
195.00,0.93,126.72
196.00,0.96,128.31
197.00,0.99,130.04
198.00,1.02,131.85
199.00,1.05,133.83
200.00,1.08,135.94
201.00,1.12,138.22
202.00,1.15,140.62
203.00,1.18,143.19
204.00,1.21,145.99
205.00,1.25,149.01
206.00,1.28,152.36
207.00,1.31,156.10
208.00,1.35,160.22
209.00,1.38,164.78
210.00,1.42,169.89
211.00,1.46,175.67
212.00,1.49,182.28
213.00,1.53,189.84
214.00,1.57,198.68
215.00,1.62,209.20
216.00,1.66,221.94
217.00,1.70,237.69
218.00,1.74,256.69
219.00,1.76,277.64
220.00,1.77,296.11
221.00,1.77,304.21
222.00,1.75,292.82
223.00,1.72,258.04
224.00,1.69,204.24
225.00,1.66,143.30
226.00,1.63,88.24
227.00,1.60,47.45
228.00,3.00,22.19
229.00,3.00,9.04
230.00,3.00,3.19
231.00,3.00,0.98
232.00,3.00,0.26
233.00,3.00,0.06
234.00,3.00,0.01
235.00,3.00,0.00
236.00,3.00,0.00
237.00,3.00,0.00
238.00,3.00,0.00
239.00,3.00,0.00
240.00,3.00,0.00
241.00,3.00,0.00
242.00,3.00,0.00
243.00,3.00,0.00
244.00,3.00,0.00
245.00,3.00,0.00
246.00,3.00,0.00
247.00,3.00,0.00
248.00,3.00,0.00
249.00,3.00,0.00
250.00,3.00,0.00
251.00,3.00,0.00
252.00,3.00,0.00
253.00,3.00,0.00
254.00,3.00,0.00
255.00,3.00,0.00
256.00,3.00,0.00
257.00,3.00,0.00
258.00,3.00,0.00
259.00,3.00,0.00
260.00,3.00,0.00
261.00,3.00,0.00
262.00,3.00,0.00
263.00,3.00,0.00
264.00,3.00,0.00
265.00,3.00,0.00
266.00,3.00,0.00
267.00,3.00,0.00
268.00,3.00,0.00
269.00,3.00,0.00
270.00,3.00,0.00
271.00,3.00,0.00
272.00,3.00,0.00
273.00,3.00,0.00
274.00,3.00,0.00
275.00,3.00,0.00
276.00,3.00,0.00
277.00,3.00,0.00
278.00,3.00,0.00
279.00,3.00,0.00
280.00,3.00,0.00
281.00,3.00,0.00
282.00,3.00,0.00
283.00,3.00,0.00
284.00,3.00,0.00
285.00,3.00,0.00
286.00,3.00,0.00
287.00,3.00,0.00
288.00,3.00,0.00
289.00,3.00,0.00
290.00,3.00,0.00
291.00,3.00,0.00
292.00,3.00,0.00
293.00,3.00,0.00
294.00,3.00,0.00
295.00,3.00,0.00
296.00,3.00,0.00
297.00,3.00,0.00
298.00,3.00,0.00
299.00,3.00,0.00
300.00,3.00,0.00
301.00,3.00,0.00
302.00,3.00,0.00
303.00,3.00,0.00
304.00,3.00,0.00
305.00,3.00,0.00
306.00,3.00,0.00
307.00,3.00,0.00
308.00,3.00,0.00
309.00,3.00,0.00
310.00,3.00,0.00
311.00,3.00,0.00
312.00,3.00,0.00
313.00,3.00,0.00
314.00,3.00,0.00
315.00,3.00,0.00
316.00,3.00,0.00
317.00,3.00,0.00
318.00,3.00,0.00
319.00,3.00,0.00
320.00,3.00,0.00
321.00,3.00,0.00
322.00,3.00,0.00
323.00,3.00,0.00
324.00,3.00,0.00
325.00,3.00,0.00
326.00,3.00,0.00
327.00,3.00,0.00
328.00,3.00,0.00
329.00,3.00,0.00
330.00,3.00,0.00
331.00,3.00,0.00
332.00,3.00,0.00
333.00,3.00,0.00
334.00,3.00,0.00
335.00,3.00,0.00
336.00,3.00,0.00
337.00,3.00,0.00
338.00,3.00,0.00
339.00,3.00,0.00
340.00,3.00,0.00
341.00,3.00,0.00
342.00,3.00,0.00
343.00,3.00,0.00
344.00,3.00,0.00
345.00,3.00,0.00
346.00,3.00,0.00
347.00,3.00,0.00
348.00,3.00,0.00
349.00,3.00,0.00
350.00,3.00,0.00
351.00,3.00,0.00
352.00,3.00,0.00
353.00,3.00,0.00
354.00,3.00,0.00
355.00,3.00,0.00
356.00,3.00,0.00
357.00,3.00,0.00
358.00,3.00,0.00
359.00,3.00,0.00
360.00,3.00,0.00
361.00,3.00,0.00
362.00,3.00,0.00
363.00,3.00,0.00
364.00,3.00,0.00
365.00,3.00,0.00
366.00,3.00,0.00
367.00,3.00,0.00
368.00,3.00,0.00
369.00,3.00,0.00
370.00,3.00,0.00
371.00,3.00,0.00
372.00,3.00,0.00
373.00,3.00,0.00
374.00,3.00,0.00
375.00,3.00,0.00
376.00,3.00,0.00
377.00,3.00,0.00
378.00,3.00,0.00
379.00,3.00,0.00
380.00,3.00,0.00
381.00,3.00,0.00
382.00,3.00,0.00
383.00,3.00,0.00
384.00,3.00,0.00
385.00,3.00,0.00
386.00,3.00,0.00
387.00,3.00,0.00
388.00,3.00,0.00
389.00,3.00,0.00
390.00,3.00,0.00
391.00,3.00,0.00
392.00,3.00,0.00
393.00,3.00,0.00
394.00,3.00,0.00
395.00,3.00,0.00
396.00,3.00,0.00
397.00,3.00,0.00
398.00,3.00,0.00
399.00,3.00,0.00
400.00,3.00,0.00
