energy, R80,A,B,C
137.3,95.92,2.798E-06,5.832E-03,-8.566E+00

depth,sigma,idd
0.00,-1.18,70.55
1.00,-1.16,71.17
2.00,-1.15,71.72
3.00,-1.13,72.17
4.00,-1.12,72.58
5.00,-1.10,73.02
6.00,-1.09,73.41
7.00,-1.07,73.78
8.00,-1.05,74.16
9.00,-1.04,74.58
10.00,-1.02,74.98
11.00,-1.01,75.36
12.00,-0.99,75.78
13.00,-0.97,76.16
14.00,-0.96,76.55
15.00,-0.94,76.93
16.00,-0.92,77.33
17.00,-0.91,77.76
18.00,-0.89,78.19
19.00,-0.87,78.58
20.00,-0.86,78.98
21.00,-0.84,79.39
22.00,-0.82,79.82
23.00,-0.80,80.27
24.00,-0.79,80.73
25.00,-0.77,81.17
26.00,-0.75,81.61
27.00,-0.74,82.03
28.00,-0.72,82.47
29.00,-0.70,82.91
30.00,-0.68,83.39
31.00,-0.67,83.91
32.00,-0.65,84.40
33.00,-0.63,84.90
34.00,-0.62,85.41
35.00,-0.60,85.91
36.00,-0.58,86.45
37.00,-0.56,86.97
38.00,-0.55,87.52
39.00,-0.53,88.05
40.00,-0.51,88.58
41.00,-0.49,89.13
42.00,-0.48,89.73
43.00,-0.46,90.35
44.00,-0.44,90.96
45.00,-0.42,91.58
46.00,-0.40,92.18
47.00,-0.39,92.76
48.00,-0.37,93.37
49.00,-0.35,94.05
50.00,-0.33,94.77
51.00,-0.31,95.54
52.00,-0.30,96.31
53.00,-0.28,97.04
54.00,-0.26,97.80
55.00,-0.24,98.63
56.00,-0.22,99.52
57.00,-0.20,100.45
58.00,-0.18,101.36
59.00,-0.16,102.30
60.00,-0.14,103.23
61.00,-0.13,104.20
62.00,-0.11,105.25
63.00,-0.08,106.44
64.00,-0.06,107.69
65.00,-0.04,108.94
66.00,-0.02,110.19
67.00,-0.00,111.50
68.00,0.02,112.91
69.00,0.04,114.41
70.00,0.06,116.03
71.00,0.08,117.74
72.00,0.10,119.56
73.00,0.13,121.51
74.00,0.15,123.61
75.00,0.17,125.87
76.00,0.20,128.28
77.00,0.22,130.88
78.00,0.24,133.74
79.00,0.27,136.90
80.00,0.29,140.39
81.00,0.32,144.24
82.00,0.35,148.55
83.00,0.37,153.38
84.00,0.40,158.83
85.00,0.43,165.07
86.00,0.46,172.29
87.00,0.49,180.77
88.00,0.52,191.01
89.00,0.56,203.76
90.00,0.59,220.24
91.00,0.61,242.22
92.00,0.62,271.22
93.00,0.61,303.70
94.00,0.57,322.06
95.00,0.52,297.83
96.00,0.46,222.09
97.00,0.41,126.24
98.00,0.01,52.78
99.00,3.00,15.90
100.00,3.00,3.41
101.00,3.00,0.52
102.00,3.00,0.05
103.00,3.00,0.00
104.00,3.00,0.00
105.00,3.00,0.00
106.00,3.00,0.00
107.00,3.00,0.00
108.00,3.00,0.00
109.00,3.00,0.00
110.00,3.00,0.00
111.00,3.00,0.00
112.00,3.00,0.00
113.00,3.00,0.00
114.00,3.00,0.00
115.00,3.00,0.00
116.00,3.00,0.00
117.00,3.00,0.00
118.00,3.00,0.00
119.00,3.00,0.00
120.00,3.00,0.00
121.00,3.00,0.00
122.00,3.00,0.00
123.00,3.00,0.00
124.00,3.00,0.00
125.00,3.00,0.00
126.00,3.00,0.00
127.00,3.00,0.00
128.00,3.00,0.00
129.00,3.00,0.00
130.00,3.00,0.00
131.00,3.00,0.00
132.00,3.00,0.00
133.00,3.00,0.00
134.00,3.00,0.00
135.00,3.00,0.00
136.00,3.00,0.00
137.00,3.00,0.00
138.00,3.00,0.00
139.00,3.00,0.00
140.00,3.00,0.00
141.00,3.00,0.00
142.00,3.00,0.00
143.00,3.00,0.00
144.00,3.00,0.00
145.00,3.00,0.00
146.00,3.00,0.00
147.00,3.00,0.00
148.00,3.00,0.00
149.00,3.00,0.00
150.00,3.00,0.00
151.00,3.00,0.00
152.00,3.00,0.00
153.00,3.00,0.00
154.00,3.00,0.00
155.00,3.00,0.00
156.00,3.00,0.00
157.00,3.00,0.00
158.00,3.00,0.00
159.00,3.00,0.00
160.00,3.00,0.00
161.00,3.00,0.00
162.00,3.00,0.00
163.00,3.00,0.00
164.00,3.00,0.00
165.00,3.00,0.00
166.00,3.00,0.00
167.00,3.00,0.00
168.00,3.00,0.00
