energy, R80,A,B,C
187.5,233.68,1.306E-06,-2.597E-03,4.892E+00

depth,sigma,idd
0.00,-1.38,64.08
1.00,-1.38,64.91
2.00,-1.38,65.48
3.00,-1.37,65.89
4.00,-1.37,66.22
5.00,-1.37,66.52
6.00,-1.36,66.78
7.00,-1.36,67.03
8.00,-1.36,67.28
9.00,-1.35,67.50
10.00,-1.35,67.71
11.00,-1.35,67.92
12.00,-1.35,68.11
13.00,-1.34,68.28
14.00,-1.34,68.48
15.00,-1.34,68.67
16.00,-1.34,68.84
17.00,-1.33,69.03
18.00,-1.33,69.20
19.00,-1.33,69.36
20.00,-1.33,69.54
21.00,-1.32,69.73
22.00,-1.32,69.90
23.00,-1.32,70.05
24.00,-1.32,70.20
25.00,-1.31,70.40
26.00,-1.31,70.55
27.00,-1.31,70.71
28.00,-1.30,70.88
29.00,-1.30,71.05
30.00,-1.30,71.19
31.00,-1.30,71.37
32.00,-1.29,71.55
33.00,-1.29,71.68
34.00,-1.29,71.89
35.00,-1.28,72.07
36.00,-1.28,72.21
37.00,-1.28,72.40
38.00,-1.27,72.57
39.00,-1.27,72.69
40.00,-1.27,72.87
41.00,-1.27,73.03
42.00,-1.26,73.23
43.00,-1.26,73.39
44.00,-1.25,73.53
45.00,-1.25,73.67
46.00,-1.25,73.82
47.00,-1.24,73.91
48.00,-1.24,74.05
49.00,-1.24,74.16
50.00,-1.23,74.30
51.00,-1.23,74.45
52.00,-1.22,74.55
53.00,-1.22,74.69
54.00,-1.22,74.82
55.00,-1.21,74.95
56.00,-1.21,75.06
57.00,-1.20,75.17
58.00,-1.20,75.28
59.00,-1.19,75.41
60.00,-1.19,75.57
61.00,-1.18,75.69
62.00,-1.18,75.82
63.00,-1.18,75.95
64.00,-1.17,76.10
65.00,-1.16,76.24
66.00,-1.16,76.40
67.00,-1.15,76.50
68.00,-1.15,76.64
69.00,-1.14,76.78
70.00,-1.14,76.95
71.00,-1.13,77.13
72.00,-1.13,77.30
73.00,-1.12,77.49
74.00,-1.11,77.62
75.00,-1.11,77.75
76.00,-1.10,77.86
77.00,-1.10,78.02
78.00,-1.09,78.21
79.00,-1.08,78.32
80.00,-1.08,78.46
81.00,-1.07,78.59
82.00,-1.06,78.74
83.00,-1.06,78.90
84.00,-1.05,78.97
85.00,-1.04,79.12
86.00,-1.03,79.30
87.00,-1.03,79.41
88.00,-1.02,79.51
89.00,-1.01,79.67
90.00,-1.00,79.83
91.00,-0.99,80.00
92.00,-0.99,80.15
93.00,-0.98,80.27
94.00,-0.97,80.43
95.00,-0.96,80.61
96.00,-0.95,80.77
97.00,-0.94,80.92
98.00,-0.94,81.06
99.00,-0.93,81.19
100.00,-0.92,81.40
101.00,-0.91,81.57
102.00,-0.90,81.73
103.00,-0.89,81.90
104.00,-0.88,82.09
105.00,-0.87,82.29
106.00,-0.86,82.44
107.00,-0.85,82.59
108.00,-0.84,82.76
109.00,-0.83,82.89
110.00,-0.82,83.05
111.00,-0.81,83.23
112.00,-0.79,83.42
113.00,-0.78,83.58
114.00,-0.77,83.75
115.00,-0.76,83.89
116.00,-0.75,84.06
117.00,-0.74,84.23
118.00,-0.72,84.40
119.00,-0.71,84.57
120.00,-0.70,84.76
121.00,-0.69,84.94
122.00,-0.68,85.07
123.00,-0.66,85.29
124.00,-0.65,85.49
125.00,-0.64,85.74
126.00,-0.62,85.94
127.00,-0.61,86.13
128.00,-0.60,86.34
129.00,-0.58,86.53
130.00,-0.57,86.74
131.00,-0.56,86.96
132.00,-0.54,87.17
133.00,-0.53,87.39
134.00,-0.51,87.64
135.00,-0.50,87.85
136.00,-0.48,88.07
137.00,-0.47,88.34
138.00,-0.45,88.57
139.00,-0.44,88.81
140.00,-0.42,89.02
141.00,-0.41,89.25
142.00,-0.39,89.51
143.00,-0.37,89.73
144.00,-0.36,90.00
145.00,-0.34,90.23
146.00,-0.32,90.46
147.00,-0.31,90.74
148.00,-0.29,91.01
149.00,-0.27,91.31
150.00,-0.25,91.60
151.00,-0.24,91.88
152.00,-0.22,92.20
153.00,-0.20,92.48
154.00,-0.18,92.80
155.00,-0.17,93.09
156.00,-0.15,93.41
157.00,-0.13,93.72
158.00,-0.11,94.06
159.00,-0.09,94.38
160.00,-0.07,94.71
161.00,-0.05,95.05
162.00,-0.03,95.42
163.00,-0.01,95.78
164.00,0.01,96.14
165.00,0.03,96.54
166.00,0.05,96.93
167.00,0.07,97.34
168.00,0.09,97.75
169.00,0.11,98.17
170.00,0.13,98.58
171.00,0.16,99.01
172.00,0.18,99.48
173.00,0.20,99.97
174.00,0.22,100.47
175.00,0.24,100.99
176.00,0.27,101.52
177.00,0.29,102.08
178.00,0.31,102.62
179.00,0.34,103.17
180.00,0.36,103.71
181.00,0.38,104.25
182.00,0.41,104.79
183.00,0.43,105.45
184.00,0.46,106.12
185.00,0.48,106.80
186.00,0.51,107.52
187.00,0.53,108.25
188.00,0.55,109.00
189.00,0.58,109.72
190.00,0.61,110.53
191.00,0.63,111.36
192.00,0.66,112.20
193.00,0.69,113.04
194.00,0.71,114.00
195.00,0.74,114.96
196.00,0.77,115.93
197.00,0.79,116.99
198.00,0.82,118.08
199.00,0.85,119.21
200.00,0.88,120.40
201.00,0.91,121.64
202.00,0.93,122.93
203.00,0.96,124.32
204.00,0.99,125.75
205.00,1.02,127.28
206.00,1.05,128.87
207.00,1.08,130.59
208.00,1.11,132.38
209.00,1.15,134.31
210.00,1.18,136.38
211.00,1.21,138.61
212.00,1.24,141.03
213.00,1.27,143.61
214.00,1.31,146.42
215.00,1.34,149.44
216.00,1.38,152.75
217.00,1.41,156.36
218.00,1.45,160.37
219.00,1.48,164.85
220.00,1.52,169.84
221.00,1.56,175.48
222.00,1.59,181.88
223.00,1.63,189.28
224.00,1.67,197.87
225.00,1.72,208.00
226.00,1.76,220.25
227.00,1.81,235.24
228.00,1.84,253.25
229.00,1.87,273.09
230.00,1.88,291.26
231.00,1.88,300.94
232.00,1.86,294.49
233.00,1.84,266.88
234.00,1.81,220.12
235.00,1.78,163.00
236.00,1.75,107.42
237.00,1.72,62.57
238.00,1.69,32.12
239.00,3.00,14.49
240.00,3.00,5.73
241.00,3.00,2.00
242.00,3.00,0.61
243.00,3.00,0.16
244.00,3.00,0.04
245.00,3.00,0.01
246.00,3.00,0.00
247.00,3.00,0.00
248.00,3.00,0.00
249.00,3.00,0.00
250.00,3.00,0.00
251.00,3.00,0.00
252.00,3.00,0.00
253.00,3.00,0.00
254.00,3.00,0.00
255.00,3.00,0.00
256.00,3.00,0.00
257.00,3.00,0.00
258.00,3.00,0.00
259.00,3.00,0.00
