energy, R80,A,B,C
228.7,291.60,2.895E-06,-2.270E-03,2.273E+00

depth,sigma,idd
0.00,-2.64,65.07
1.00,-2.64,65.73
2.00,-2.63,66.19
3.00,-2.62,66.51
4.00,-2.61,66.78
5.00,-2.60,67.04
6.00,-2.59,67.29
7.00,-2.58,67.50
8.00,-2.57,67.72
9.00,-2.56,67.93
10.00,-2.55,68.12
11.00,-2.55,68.28
12.00,-2.54,68.47
13.00,-2.53,68.65
14.00,-2.52,68.85
15.00,-2.51,69.05
16.00,-2.50,69.16
17.00,-2.50,69.28
18.00,-2.49,69.41
19.00,-2.48,69.55
20.00,-2.47,69.71
21.00,-2.46,69.85
22.00,-2.46,69.99
23.00,-2.45,70.12
24.00,-2.44,70.28
25.00,-2.43,70.42
26.00,-2.42,70.55
27.00,-2.41,70.69
28.00,-2.41,70.82
29.00,-2.40,70.93
30.00,-2.39,71.05
31.00,-2.38,71.17
32.00,-2.37,71.29
33.00,-2.37,71.41
34.00,-2.36,71.50
35.00,-2.35,71.62
36.00,-2.34,71.75
37.00,-2.33,71.87
38.00,-2.32,71.98
39.00,-2.32,72.07
40.00,-2.31,72.15
41.00,-2.30,72.26
42.00,-2.29,72.36
43.00,-2.28,72.45
44.00,-2.27,72.53
45.00,-2.27,72.63
46.00,-2.26,72.73
47.00,-2.25,72.78
48.00,-2.24,72.88
49.00,-2.23,72.97
50.00,-2.22,73.07
51.00,-2.22,73.15
52.00,-2.21,73.26
53.00,-2.20,73.36
54.00,-2.19,73.45
55.00,-2.18,73.52
56.00,-2.17,73.63
57.00,-2.16,73.71
58.00,-2.15,73.77
59.00,-2.14,73.88
60.00,-2.14,74.01
61.00,-2.13,74.13
62.00,-2.12,74.19
63.00,-2.11,74.25
64.00,-2.10,74.31
65.00,-2.09,74.41
66.00,-2.08,74.51
67.00,-2.07,74.59
68.00,-2.06,74.69
69.00,-2.05,74.76
70.00,-2.04,74.82
71.00,-2.03,74.90
72.00,-2.03,74.97
73.00,-2.02,75.05
74.00,-2.01,75.13
75.00,-2.00,75.20
76.00,-1.99,75.27
77.00,-1.98,75.35
78.00,-1.97,75.43
79.00,-1.95,75.51
80.00,-1.95,75.60
81.00,-1.94,75.67
82.00,-1.92,75.76
83.00,-1.91,75.88
84.00,-1.90,75.97
85.00,-1.89,76.05
86.00,-1.88,76.13
87.00,-1.87,76.20
88.00,-1.86,76.25
89.00,-1.85,76.35
90.00,-1.84,76.45
91.00,-1.83,76.54
92.00,-1.82,76.63
93.00,-1.81,76.73
94.00,-1.79,76.81
95.00,-1.78,76.90
96.00,-1.77,77.00
97.00,-1.76,77.10
98.00,-1.75,77.18
99.00,-1.74,77.29
100.00,-1.73,77.38
101.00,-1.71,77.44
102.00,-1.70,77.52
103.00,-1.69,77.61
104.00,-1.68,77.69
105.00,-1.66,77.74
