energy, R80,A,B,C
218.7,266.89,3.130E-06,-2.598E-03,2.262E+00

depth,sigma,idd
0.00,-2.39,65.61
1.00,-2.39,66.27
2.00,-2.38,66.71
3.00,-2.37,67.06
4.00,-2.36,67.33
5.00,-2.35,67.60
6.00,-2.34,67.83
7.00,-2.33,68.06
8.00,-2.32,68.29
9.00,-2.31,68.50
10.00,-2.30,68.73
11.00,-2.29,68.96
12.00,-2.28,69.08
13.00,-2.27,69.20
14.00,-2.27,69.36
15.00,-2.26,69.52
16.00,-2.25,69.67
17.00,-2.24,69.81
18.00,-2.23,69.96
19.00,-2.23,70.12
20.00,-2.22,70.24
21.00,-2.21,70.35
22.00,-2.20,70.47
23.00,-2.19,70.62
24.00,-2.18,70.75
25.00,-2.17,70.90
26.00,-2.17,71.04
27.00,-2.16,71.18
28.00,-2.15,71.31
29.00,-2.14,71.43
30.00,-2.13,71.53
31.00,-2.13,71.66
32.00,-2.12,71.78
33.00,-2.11,71.89
34.00,-2.10,72.02
35.00,-2.09,72.14
36.00,-2.08,72.27
37.00,-2.07,72.38
38.00,-2.07,72.49
39.00,-2.06,72.62
40.00,-2.05,72.75
41.00,-2.04,72.85
42.00,-2.03,72.92
43.00,-2.02,73.02
44.00,-2.01,73.17
45.00,-2.00,73.31
46.00,-1.99,73.43
47.00,-1.99,73.54
48.00,-1.98,73.63
49.00,-1.97,73.73
50.00,-1.96,73.87
51.00,-1.95,74.00
52.00,-1.94,74.13
53.00,-1.93,74.25
54.00,-1.92,74.35
55.00,-1.91,74.43
56.00,-1.90,74.54
57.00,-1.89,74.65
58.00,-1.89,74.77
59.00,-1.88,74.86
60.00,-1.87,74.97
61.00,-1.86,75.09
62.00,-1.85,75.18
63.00,-1.84,75.28
64.00,-1.83,75.37
65.00,-1.82,75.47
66.00,-1.81,75.58
67.00,-1.80,75.68
68.00,-1.79,75.78
69.00,-1.78,75.90
70.00,-1.77,76.01
71.00,-1.76,76.09
72.00,-1.75,76.19
73.00,-1.74,76.31
74.00,-1.73,76.41
75.00,-1.72,76.50
76.00,-1.71,76.60
77.00,-1.70,76.72
78.00,-1.69,76.84
79.00,-1.68,76.92
80.00,-1.67,76.98
81.00,-1.65,77.04
82.00,-1.64,77.13
83.00,-1.63,77.25
84.00,-1.62,77.34
85.00,-1.61,77.44
86.00,-1.60,77.51
87.00,-1.59,77.63
88.00,-1.58,77.74
89.00,-1.57,77.86
90.00,-1.56,77.99
91.00,-1.54,78.09
92.00,-1.53,78.17
93.00,-1.52,78.25
94.00,-1.51,78.33
95.00,-1.50,78.44
96.00,-1.49,78.54
97.00,-1.47,78.65
98.00,-1.46,78.76
99.00,-1.45,78.85
100.00,-1.44,78.97
101.00,-1.43,79.10
102.00,-1.41,79.24
103.00,-1.40,79.38
104.00,-1.39,79.51
105.00,-1.37,79.64
106.00,-1.36,79.78
107.00,-1.35,79.92
108.00,-1.34,80.04
109.00,-1.32,80.16
110.00,-1.31,80.28
111.00,-1.30,80.39
112.00,-1.28,80.49
113.00,-1.27,80.62
114.00,-1.25,80.75
115.00,-1.24,80.85
116.00,-1.23,80.97
117.00,-1.21,81.09
118.00,-1.20,81.22
119.00,-1.18,81.33
120.00,-1.17,81.45
121.00,-1.16,81.57
122.00,-1.14,81.70
123.00,-1.13,81.83
124.00,-1.11,81.93
125.00,-1.10,82.04
126.00,-1.08,82.15
127.00,-1.07,82.28
128.00,-1.05,82.41
129.00,-1.04,82.53
130.00,-1.02,82.65
131.00,-1.01,82.76
132.00,-0.99,82.88
133.00,-0.98,82.99
134.00,-0.96,83.10
135.00,-0.95,83.22
136.00,-0.93,83.36
137.00,-0.92,83.49
138.00,-0.90,83.62
139.00,-0.89,83.75
140.00,-0.87,83.90
141.00,-0.85,84.04
142.00,-0.84,84.18
143.00,-0.82,84.31
144.00,-0.80,84.44
145.00,-0.79,84.58
146.00,-0.77,84.71
147.00,-0.75,84.86
148.00,-0.74,85.00
149.00,-0.72,85.15
150.00,-0.70,85.29
151.00,-0.69,85.44
152.00,-0.67,85.58
153.00,-0.65,85.75
154.00,-0.63,85.92
155.00,-0.62,86.07
156.00,-0.60,86.24
157.00,-0.58,86.39
158.00,-0.56,86.56
159.00,-0.55,86.72
160.00,-0.53,86.87
161.00,-0.51,87.05
162.00,-0.49,87.23
163.00,-0.47,87.41
164.00,-0.46,87.59
165.00,-0.44,87.79
166.00,-0.42,87.99
167.00,-0.40,88.16
