energy, R80,A,B,C
197.6,217.80,3.044E-06,-8.569E-04,-1.885E-01

depth,sigma,idd
0.00,-2.05,66.38
1.00,-2.04,66.99
2.00,-2.03,67.45
3.00,-2.02,67.83
4.00,-2.01,68.11
5.00,-2.00,68.35
6.00,-1.99,68.60
7.00,-1.98,68.84
8.00,-1.97,69.06
9.00,-1.96,69.27
10.00,-1.95,69.48
11.00,-1.94,69.67
12.00,-1.93,69.86
13.00,-1.92,70.03
14.00,-1.91,70.23
15.00,-1.90,70.40
16.00,-1.89,70.59
17.00,-1.88,70.78
18.00,-1.87,70.96
19.00,-1.86,71.13
20.00,-1.85,71.34
21.00,-1.84,71.48
22.00,-1.83,71.64
23.00,-1.82,71.83
24.00,-1.81,72.00
25.00,-1.80,72.15
26.00,-1.79,72.30
27.00,-1.78,72.45
28.00,-1.77,72.63
29.00,-1.76,72.79
30.00,-1.75,72.96
31.00,-1.74,73.09
32.00,-1.73,73.23
33.00,-1.72,73.39
34.00,-1.71,73.54
35.00,-1.70,73.67
36.00,-1.69,73.81
37.00,-1.68,73.98
38.00,-1.67,74.17
39.00,-1.66,74.32
40.00,-1.65,74.46
41.00,-1.64,74.59
42.00,-1.63,74.71
43.00,-1.62,74.86
44.00,-1.61,75.02
45.00,-1.60,75.15
46.00,-1.59,75.30
47.00,-1.57,75.45
48.00,-1.56,75.59
49.00,-1.55,75.75
50.00,-1.54,75.91
51.00,-1.53,76.06
52.00,-1.52,76.19
53.00,-1.51,76.33
54.00,-1.50,76.46
55.00,-1.49,76.62
56.00,-1.48,76.75
57.00,-1.46,76.90
58.00,-1.45,77.05
59.00,-1.44,77.19
60.00,-1.43,77.35
61.00,-1.42,77.50
62.00,-1.41,77.66
63.00,-1.40,77.82
64.00,-1.39,77.96
65.00,-1.37,78.09
66.00,-1.36,78.22
67.00,-1.35,78.36
68.00,-1.34,78.53
69.00,-1.33,78.71
70.00,-1.32,78.85
71.00,-1.30,79.00
72.00,-1.29,79.17
73.00,-1.28,79.32
74.00,-1.27,79.47
75.00,-1.26,79.62
76.00,-1.24,79.75
77.00,-1.23,79.92
78.00,-1.22,80.07
79.00,-1.21,80.21
80.00,-1.19,80.33
81.00,-1.18,80.48
82.00,-1.17,80.65
83.00,-1.15,80.81
84.00,-1.14,80.99
85.00,-1.13,81.16
86.00,-1.11,81.32
87.00,-1.10,81.50
88.00,-1.09,81.66
89.00,-1.07,81.84
90.00,-1.06,82.01
91.00,-1.05,82.16
92.00,-1.03,82.33
93.00,-1.02,82.51
94.00,-1.00,82.71
95.00,-0.99,82.87
96.00,-0.97,83.03
97.00,-0.96,83.20
98.00,-0.94,83.35
99.00,-0.93,83.52
100.00,-0.91,83.71
101.00,-0.90,83.89
102.00,-0.88,84.05
103.00,-0.87,84.22
104.00,-0.86,84.39
105.00,-0.84,84.55
106.00,-0.83,84.74
107.00,-0.81,84.92
108.00,-0.79,85.09
109.00,-0.78,85.27
110.00,-0.76,85.47
111.00,-0.75,85.65
112.00,-0.73,85.81
113.00,-0.72,86.00
114.00,-0.70,86.20
115.00,-0.68,86.41
116.00,-0.67,86.62
117.00,-0.65,86.82
118.00,-0.63,87.03
119.00,-0.62,87.26
120.00,-0.60,87.45
121.00,-0.59,87.69
122.00,-0.57,87.93
123.00,-0.55,88.15
124.00,-0.53,88.40
125.00,-0.52,88.62
126.00,-0.50,88.84
127.00,-0.48,89.08
128.00,-0.47,89.33
129.00,-0.45,89.57
130.00,-0.43,89.81
131.00,-0.41,90.08
132.00,-0.39,90.34
