energy, R80,A,B,C
135.5,131.75,1.781E-06,-2.467E-03,3.258E+00

depth,sigma,idd
0.00,-0.71,64.11
1.00,-0.71,64.80
2.00,-0.70,65.36
3.00,-0.70,65.79
4.00,-0.70,66.23
5.00,-0.69,66.51
6.00,-0.69,66.84
7.00,-0.68,67.17
8.00,-0.68,67.47
9.00,-0.67,67.76
10.00,-0.67,68.06
11.00,-0.66,68.36
12.00,-0.66,68.66
13.00,-0.65,68.96
14.00,-0.65,69.23
15.00,-0.65,69.51
16.00,-0.64,69.80
17.00,-0.64,70.10
18.00,-0.63,70.37
19.00,-0.63,70.66
20.00,-0.62,70.98
21.00,-0.62,71.25
22.00,-0.61,71.51
23.00,-0.61,71.88
24.00,-0.61,72.20
25.00,-0.60,72.50
26.00,-0.60,72.77
27.00,-0.59,73.05
28.00,-0.59,73.35
29.00,-0.58,73.71
30.00,-0.58,73.98
31.00,-0.57,74.22
32.00,-0.57,74.52
33.00,-0.56,74.80
34.00,-0.56,75.08
35.00,-0.55,75.32
36.00,-0.55,75.65
37.00,-0.54,75.92
38.00,-0.53,76.22
39.00,-0.53,76.51
40.00,-0.52,76.83
41.00,-0.52,77.10
42.00,-0.51,77.41
43.00,-0.50,77.72
44.00,-0.50,78.02
45.00,-0.49,78.28
46.00,-0.48,78.61
47.00,-0.48,78.94
48.00,-0.47,79.28
49.00,-0.47,79.61
50.00,-0.46,79.94
51.00,-0.45,80.27
52.00,-0.44,80.59
53.00,-0.44,80.94
54.00,-0.43,81.31
55.00,-0.42,81.69
56.00,-0.41,82.05
57.00,-0.40,82.42
58.00,-0.40,82.77
59.00,-0.39,83.16
60.00,-0.38,83.55
61.00,-0.37,83.96
62.00,-0.36,84.34
63.00,-0.35,84.75
64.00,-0.35,85.13
65.00,-0.33,85.56
66.00,-0.33,85.94
67.00,-0.32,86.35
68.00,-0.31,86.78
69.00,-0.30,87.21
70.00,-0.29,87.65
71.00,-0.28,88.10
72.00,-0.27,88.56
73.00,-0.25,89.05
74.00,-0.24,89.60
75.00,-0.23,90.14
76.00,-0.22,90.71
77.00,-0.21,91.28
78.00,-0.20,91.83
79.00,-0.18,92.36
80.00,-0.17,92.96
81.00,-0.16,93.62
82.00,-0.15,94.23
83.00,-0.13,94.88
84.00,-0.12,95.51
85.00,-0.11,96.14
86.00,-0.09,96.87
87.00,-0.08,97.63
88.00,-0.06,98.38
89.00,-0.05,99.11
90.00,-0.03,99.82
91.00,-0.02,100.58
92.00,-0.00,101.45
93.00,0.01,102.39
94.00,0.03,103.37
95.00,0.05,104.39
96.00,0.06,105.36
97.00,0.08,106.33
98.00,0.09,107.39
99.00,0.11,108.55
100.00,0.13,109.79
101.00,0.15,111.07
102.00,0.17,112.38
103.00,0.19,113.69
104.00,0.20,115.06
105.00,0.22,116.55
106.00,0.24,118.16
107.00,0.26,119.93
108.00,0.29,121.83
109.00,0.31,123.83
110.00,0.33,125.90
111.00,0.35,128.18
112.00,0.37,130.68
113.00,0.40,133.38
114.00,0.42,136.26
115.00,0.44,139.41
116.00,0.47,142.81
117.00,0.49,146.66
118.00,0.52,150.96
119.00,0.55,155.82
120.00,0.57,161.34
121.00,0.60,167.61
122.00,0.63,174.88
123.00,0.66,183.38
124.00,0.69,193.51
125.00,0.72,205.98
126.00,0.76,221.95
127.00,0.79,243.36
128.00,0.82,272.52
129.00,0.83,308.12
130.00,0.82,333.25
131.00,0.79,311.86
132.00,0.76,227.79
133.00,0.72,121.20
134.00,0.69,45.16
135.00,3.00,11.60
136.00,3.00,2.06
137.00,3.00,0.25
138.00,3.00,0.02
139.00,3.00,0.00
140.00,3.00,0.00
141.00,3.00,0.00
142.00,3.00,0.00
143.00,3.00,0.00
144.00,3.00,0.00
145.00,3.00,0.00
146.00,3.00,0.00
147.00,3.00,0.00
148.00,3.00,0.00
149.00,3.00,0.00
150.00,3.00,0.00
151.00,3.00,0.00
152.00,3.00,0.00
153.00,3.00,0.00
154.00,3.00,0.00
155.00,3.00,0.00
156.00,3.00,0.00
157.00,3.00,0.00
158.00,3.00,0.00
159.00,3.00,0.00
160.00,3.00,0.00
161.00,3.00,0.00
162.00,3.00,0.00
163.00,3.00,0.00
164.00,3.00,0.00
165.00,3.00,0.00
166.00,3.00,0.00
167.00,3.00,0.00
168.00,3.00,0.00
169.00,3.00,0.00
170.00,3.00,0.00
171.00,3.00,0.00
172.00,3.00,0.00
173.00,3.00,0.00
174.00,3.00,0.00
175.00,3.00,0.00
176.00,3.00,0.00
177.00,3.00,0.00
178.00,3.00,0.00
179.00,3.00,0.00
180.00,3.00,0.00
181.00,3.00,0.00
182.00,3.00,0.00
183.00,3.00,0.00
184.00,3.00,0.00
185.00,3.00,0.00
186.00,3.00,0.00
187.00,3.00,0.00
188.00,3.00,0.00
189.00,3.00,0.00
190.00,3.00,0.00
191.00,3.00,0.00
192.00,3.00,0.00
193.00,3.00,0.00
194.00,3.00,0.00
195.00,3.00,0.00
196.00,3.00,0.00
197.00,3.00,0.00
198.00,3.00,0.00
199.00,3.00,0.00
200.00,3.00,0.00
201.00,3.00,0.00
202.00,3.00,0.00
203.00,3.00,0.00
204.00,3.00,0.00
205.00,3.00,0.00
206.00,3.00,0.00
207.00,3.00,0.00
208.00,3.00,0.00
209.00,3.00,0.00
210.00,3.00,0.00
211.00,3.00,0.00
212.00,3.00,0.00
213.00,3.00,0.00
214.00,3.00,0.00
215.00,3.00,0.00
216.00,3.00,0.00
217.00,3.00,0.00
218.00,3.00,0.00
219.00,3.00,0.00
220.00,3.00,0.00
221.00,3.00,0.00
222.00,3.00,0.00
223.00,3.00,0.00
224.00,3.00,0.00
225.00,3.00,0.00
226.00,3.00,0.00
227.00,3.00,0.00
228.00,3.00,0.00
229.00,3.00,0.00
230.00,3.00,0.00
231.00,3.00,0.00
232.00,3.00,0.00
233.00,3.00,0.00
234.00,3.00,0.00
235.00,3.00,0.00
236.00,3.00,0.00
237.00,3.00,0.00
238.00,3.00,0.00
239.00,3.00,0.00
240.00,3.00,0.00
241.00,3.00,0.00
242.00,3.00,0.00
243.00,3.00,0.00
244.00,3.00,0.00
245.00,3.00,0.00
246.00,3.00,0.00
247.00,3.00,0.00
248.00,3.00,0.00
249.00,3.00,0.00
250.00,3.00,0.00
251.00,3.00,0.00
252.00,3.00,0.00
253.00,3.00,0.00
254.00,3.00,0.00
255.00,3.00,0.00
256.00,3.00,0.00
257.00,3.00,0.00
258.00,3.00,0.00
259.00,3.00,0.00
260.00,3.00,0.00
261.00,3.00,0.00
262.00,3.00,0.00
263.00,3.00,0.00
264.00,3.00,0.00
265.00,3.00,0.00
266.00,3.00,0.00
267.00,3.00,0.00
268.00,3.00,0.00
269.00,3.00,0.00
270.00,3.00,0.00
271.00,3.00,0.00
272.00,3.00,0.00
273.00,3.00,0.00
274.00,3.00,0.00
275.00,3.00,0.00
276.00,3.00,0.00
277.00,3.00,0.00
278.00,3.00,0.00
279.00,3.00,0.00
280.00,3.00,0.00
281.00,3.00,0.00
282.00,3.00,0.00
283.00,3.00,0.00
284.00,3.00,0.00
285.00,3.00,0.00
286.00,3.00,0.00
287.00,3.00,0.00
288.00,3.00,0.00
289.00,3.00,0.00
290.00,3.00,0.00
291.00,3.00,0.00
292.00,3.00,0.00
293.00,3.00,0.00
294.00,3.00,0.00
295.00,3.00,0.00
296.00,3.00,0.00
297.00,3.00,0.00
298.00,3.00,0.00
299.00,3.00,0.00
300.00,3.00,0.00
301.00,3.00,0.00
302.00,3.00,0.00
303.00,3.00,0.00
304.00,3.00,0.00
305.00,3.00,0.00
306.00,3.00,0.00
307.00,3.00,0.00
308.00,3.00,0.00
309.00,3.00,0.00
310.00,3.00,0.00
311.00,3.00,0.00
312.00,3.00,0.00
313.00,3.00,0.00
314.00,3.00,0.00
315.00,3.00,0.00
316.00,3.00,0.00
317.00,3.00,0.00
318.00,3.00,0.00
319.00,3.00,0.00
320.00,3.00,0.00
321.00,3.00,0.00
322.00,3.00,0.00
323.00,3.00,0.00
324.00,3.00,0.00
325.00,3.00,0.00
326.00,3.00,0.00
327.00,3.00,0.00
328.00,3.00,0.00
329.00,3.00,0.00
330.00,3.00,0.00
331.00,3.00,0.00
332.00,3.00,0.00
333.00,3.00,0.00
334.00,3.00,0.00
335.00,3.00,0.00
336.00,3.00,0.00
337.00,3.00,0.00
338.00,3.00,0.00
339.00,3.00,0.00
340.00,3.00,0.00
341.00,3.00,0.00
342.00,3.00,0.00
343.00,3.00,0.00
344.00,3.00,0.00
345.00,3.00,0.00
346.00,3.00,0.00
347.00,3.00,0.00
348.00,3.00,0.00
349.00,3.00,0.00
350.00,3.00,0.00
351.00,3.00,0.00
352.00,3.00,0.00
353.00,3.00,0.00
354.00,3.00,0.00
355.00,3.00,0.00
356.00,3.00,0.00
357.00,3.00,0.00
358.00,3.00,0.00
359.00,3.00,0.00
360.00,3.00,0.00
361.00,3.00,0.00
362.00,3.00,0.00
363.00,3.00,0.00
364.00,3.00,0.00
365.00,3.00,0.00
366.00,3.00,0.00
367.00,3.00,0.00
368.00,3.00,0.00
369.00,3.00,0.00
370.00,3.00,0.00
371.00,3.00,0.00
372.00,3.00,0.00
373.00,3.00,0.00
374.00,3.00,0.00
375.00,3.00,0.00
376.00,3.00,0.00
377.00,3.00,0.00
378.00,3.00,0.00
379.00,3.00,0.00
380.00,3.00,0.00
381.00,3.00,0.00
