energy, R80,A,B,C
150.2,158.21,1.157E-06,-1.040E-03,2.537E+00

depth,sigma,idd
0.00,-0.88,64.01
1.00,-0.88,64.79
2.00,-0.87,65.34
3.00,-0.87,65.73
4.00,-0.86,66.12
5.00,-0.86,66.42
6.00,-0.86,66.71
7.00,-0.85,67.01
8.00,-0.85,67.25
9.00,-0.84,67.53
10.00,-0.84,67.81
11.00,-0.84,68.06
12.00,-0.83,68.34
13.00,-0.83,68.59
14.00,-0.82,68.82
15.00,-0.82,69.06
16.00,-0.82,69.30
17.00,-0.81,69.56
18.00,-0.81,69.80
19.00,-0.80,70.05
20.00,-0.80,70.25
21.00,-0.80,70.49
22.00,-0.79,70.73
23.00,-0.79,70.97
24.00,-0.78,71.22
25.00,-0.78,71.44
26.00,-0.78,71.66
27.00,-0.77,71.84
28.00,-0.77,72.15
29.00,-0.76,72.40
30.00,-0.76,72.64
31.00,-0.76,72.88
32.00,-0.75,73.14
33.00,-0.75,73.41
34.00,-0.74,73.63
35.00,-0.74,73.87
36.00,-0.73,74.09
37.00,-0.73,74.31
38.00,-0.72,74.52
39.00,-0.72,74.82
40.00,-0.71,75.08
41.00,-0.71,75.29
42.00,-0.70,75.49
43.00,-0.70,75.77
44.00,-0.69,75.96
45.00,-0.69,76.21
46.00,-0.68,76.43
47.00,-0.67,76.63
48.00,-0.67,76.89
49.00,-0.66,77.14
50.00,-0.66,77.44
51.00,-0.65,77.63
52.00,-0.64,77.89
53.00,-0.64,78.14
54.00,-0.63,78.42
55.00,-0.63,78.64
56.00,-0.62,78.86
57.00,-0.61,79.10
58.00,-0.60,79.35
59.00,-0.60,79.64
60.00,-0.59,79.86
61.00,-0.58,80.11
62.00,-0.58,80.41
63.00,-0.57,80.67
64.00,-0.56,80.93
65.00,-0.55,81.17
66.00,-0.54,81.39
67.00,-0.54,81.66
68.00,-0.53,81.92
69.00,-0.52,82.25
70.00,-0.51,82.50
71.00,-0.50,82.78
72.00,-0.49,83.05
73.00,-0.48,83.36
74.00,-0.48,83.67
75.00,-0.47,83.94
76.00,-0.46,84.27
77.00,-0.45,84.60
78.00,-0.44,84.95
79.00,-0.43,85.29
80.00,-0.42,85.55
81.00,-0.41,85.89
82.00,-0.39,86.23
83.00,-0.38,86.56
84.00,-0.37,86.95
85.00,-0.36,87.35
86.00,-0.35,87.72
87.00,-0.34,88.10
88.00,-0.33,88.47
89.00,-0.32,88.87
90.00,-0.30,89.23
91.00,-0.29,89.62
92.00,-0.28,90.03
93.00,-0.26,90.44
94.00,-0.25,90.86
95.00,-0.24,91.29
96.00,-0.23,91.73
97.00,-0.21,92.13
98.00,-0.20,92.58
99.00,-0.18,93.09
100.00,-0.17,93.60
101.00,-0.16,94.14
102.00,-0.14,94.67
103.00,-0.13,95.21
104.00,-0.11,95.74
105.00,-0.10,96.30
106.00,-0.08,96.89
107.00,-0.06,97.53
108.00,-0.05,98.22
109.00,-0.03,98.89
110.00,-0.01,99.55
111.00,0.00,100.26
112.00,0.02,100.94
113.00,0.04,101.62
114.00,0.06,102.38
115.00,0.08,103.21
116.00,0.09,104.07
117.00,0.11,104.92
118.00,0.13,105.81
119.00,0.15,106.72
120.00,0.17,107.61
121.00,0.19,108.51
122.00,0.21,109.44
123.00,0.23,110.49
124.00,0.25,111.64
125.00,0.27,112.80
126.00,0.29,113.95
127.00,0.31,115.12
128.00,0.34,116.38
129.00,0.36,117.75
