energy, R80,A,B,C
189.8,238.71,1.282E-06,-2.587E-03,4.965E+00

depth,sigma,idd
0.00,-1.42,64.06
1.00,-1.41,64.86
2.00,-1.41,65.43
3.00,-1.41,65.86
4.00,-1.40,66.22
5.00,-1.40,66.52
6.00,-1.40,66.79
7.00,-1.39,67.04
8.00,-1.39,67.29
9.00,-1.39,67.48
10.00,-1.38,67.71
11.00,-1.38,67.94
12.00,-1.38,68.12
13.00,-1.38,68.32
14.00,-1.37,68.50
15.00,-1.37,68.69
16.00,-1.37,68.87
17.00,-1.37,69.06
18.00,-1.37,69.22
19.00,-1.36,69.40
20.00,-1.36,69.60
21.00,-1.36,69.74
22.00,-1.35,69.93
23.00,-1.35,70.10
24.00,-1.35,70.21
25.00,-1.35,70.38
26.00,-1.34,70.57
27.00,-1.34,70.73
28.00,-1.34,70.88
29.00,-1.34,71.02
30.00,-1.33,71.18
31.00,-1.33,71.37
32.00,-1.33,71.54
33.00,-1.32,71.69
34.00,-1.32,71.87
35.00,-1.32,72.02
36.00,-1.32,72.17
37.00,-1.31,72.33
38.00,-1.31,72.54
39.00,-1.31,72.73
40.00,-1.30,72.79
41.00,-1.30,72.99
42.00,-1.30,73.16
43.00,-1.30,73.28
44.00,-1.29,73.46
45.00,-1.29,73.60
46.00,-1.28,73.74
47.00,-1.28,73.86
48.00,-1.28,74.03
49.00,-1.27,74.16
50.00,-1.27,74.28
51.00,-1.26,74.42
52.00,-1.26,74.56
53.00,-1.26,74.71
54.00,-1.25,74.85
55.00,-1.25,74.99
56.00,-1.24,75.09
57.00,-1.24,75.19
58.00,-1.24,75.29
59.00,-1.23,75.44
60.00,-1.23,75.58
61.00,-1.22,75.71
62.00,-1.22,75.83
63.00,-1.21,75.97
64.00,-1.21,76.12
65.00,-1.20,76.27
66.00,-1.20,76.43
67.00,-1.19,76.53
68.00,-1.19,76.64
69.00,-1.18,76.76
70.00,-1.18,76.91
71.00,-1.17,77.04
72.00,-1.17,77.20
73.00,-1.16,77.32
74.00,-1.16,77.51
75.00,-1.15,77.64
76.00,-1.14,77.82
77.00,-1.14,77.96
78.00,-1.13,78.07
79.00,-1.12,78.15
80.00,-1.12,78.31
81.00,-1.11,78.48
82.00,-1.10,78.56
83.00,-1.10,78.68
84.00,-1.09,78.85
85.00,-1.08,78.98
86.00,-1.08,79.12
87.00,-1.07,79.21
88.00,-1.06,79.35
89.00,-1.05,79.53
90.00,-1.05,79.69
91.00,-1.04,79.75
92.00,-1.03,79.87
93.00,-1.02,80.00
94.00,-1.01,80.12
95.00,-1.01,80.24
96.00,-1.00,80.40
97.00,-0.99,80.55
98.00,-0.98,80.70
99.00,-0.97,80.86
100.00,-0.96,81.03
101.00,-0.95,81.18
102.00,-0.95,81.36
103.00,-0.94,81.55
104.00,-0.93,81.72
105.00,-0.92,81.87
106.00,-0.91,82.02
107.00,-0.90,82.17
108.00,-0.89,82.35
109.00,-0.88,82.52
110.00,-0.87,82.70
111.00,-0.86,82.84
112.00,-0.84,83.00
113.00,-0.83,83.18
114.00,-0.82,83.35
115.00,-0.81,83.52
116.00,-0.80,83.66
117.00,-0.79,83.85
118.00,-0.78,83.99
119.00,-0.77,84.16
120.00,-0.75,84.31
121.00,-0.74,84.49
122.00,-0.73,84.64
123.00,-0.72,84.78
124.00,-0.70,84.95
125.00,-0.69,85.11
126.00,-0.68,85.26
127.00,-0.67,85.46
128.00,-0.65,85.62
129.00,-0.64,85.81
130.00,-0.63,85.98
131.00,-0.61,86.19
132.00,-0.60,86.37
133.00,-0.58,86.55
134.00,-0.57,86.76
135.00,-0.56,86.98
136.00,-0.54,87.19
137.00,-0.53,87.40
138.00,-0.51,87.60
139.00,-0.50,87.81
