energy, R80,A,B,C
173,203.17,1.285E-06,-2.163E-03,4.087E+00

depth,sigma,idd
0.00,-1.18,64.02
1.00,-1.17,64.82
2.00,-1.17,65.39
3.00,-1.16,65.77
4.00,-1.16,66.13
5.00,-1.16,66.44
6.00,-1.15,66.72
7.00,-1.15,67.01
8.00,-1.15,67.27
9.00,-1.14,67.55
10.00,-1.14,67.78
11.00,-1.14,67.98
12.00,-1.13,68.20
13.00,-1.13,68.43
14.00,-1.13,68.66
15.00,-1.12,68.88
16.00,-1.12,69.07
17.00,-1.12,69.28
18.00,-1.12,69.48
19.00,-1.11,69.66
20.00,-1.11,69.90
21.00,-1.11,70.08
22.00,-1.10,70.23
23.00,-1.10,70.43
24.00,-1.10,70.63
25.00,-1.09,70.82
26.00,-1.09,70.98
27.00,-1.09,71.15
28.00,-1.08,71.35
29.00,-1.08,71.55
30.00,-1.08,71.77
31.00,-1.08,71.98
32.00,-1.07,72.13
33.00,-1.07,72.33
34.00,-1.06,72.43
35.00,-1.06,72.65
36.00,-1.06,72.85
37.00,-1.05,73.05
38.00,-1.05,73.22
39.00,-1.05,73.40
40.00,-1.04,73.56
41.00,-1.04,73.74
42.00,-1.04,73.90
43.00,-1.03,74.09
44.00,-1.03,74.26
45.00,-1.02,74.46
46.00,-1.02,74.60
47.00,-1.01,74.79
48.00,-1.01,74.97
49.00,-1.00,75.13
50.00,-1.00,75.35
51.00,-0.99,75.53
52.00,-0.99,75.68
53.00,-0.99,75.79
54.00,-0.98,75.90
55.00,-0.98,76.07
56.00,-0.97,76.23
57.00,-0.97,76.42
58.00,-0.96,76.56
59.00,-0.95,76.72
60.00,-0.95,76.88
61.00,-0.94,77.07
62.00,-0.94,77.20
63.00,-0.93,77.42
64.00,-0.92,77.63
65.00,-0.92,77.74
66.00,-0.92,77.87
67.00,-0.91,78.07
68.00,-0.90,78.24
69.00,-0.89,78.39
70.00,-0.89,78.55
71.00,-0.88,78.72
72.00,-0.87,78.90
73.00,-0.87,79.05
74.00,-0.86,79.21
75.00,-0.85,79.41
76.00,-0.85,79.60
77.00,-0.84,79.76
78.00,-0.83,79.93
79.00,-0.82,80.08
80.00,-0.82,80.23
81.00,-0.81,80.43
82.00,-0.80,80.61
83.00,-0.79,80.79
84.00,-0.78,80.99
85.00,-0.77,81.18
86.00,-0.77,81.35
87.00,-0.76,81.54
88.00,-0.75,81.75
89.00,-0.74,81.94
90.00,-0.73,82.14
91.00,-0.72,82.37
92.00,-0.71,82.56
93.00,-0.70,82.77
94.00,-0.69,82.99
95.00,-0.68,83.18
96.00,-0.67,83.39
97.00,-0.66,83.62
98.00,-0.65,83.82
99.00,-0.64,84.04
100.00,-0.63,84.25
101.00,-0.62,84.40
102.00,-0.61,84.61
103.00,-0.59,84.87
104.00,-0.58,85.11
105.00,-0.57,85.35
106.00,-0.56,85.54
107.00,-0.55,85.80
108.00,-0.53,86.06
109.00,-0.52,86.30
110.00,-0.51,86.54
111.00,-0.50,86.79
112.00,-0.48,87.05
113.00,-0.47,87.30
114.00,-0.46,87.56
115.00,-0.44,87.83
116.00,-0.43,88.12
117.00,-0.42,88.41
118.00,-0.40,88.65
119.00,-0.39,88.96
120.00,-0.38,89.26
121.00,-0.36,89.52
122.00,-0.34,89.81
123.00,-0.33,90.11
124.00,-0.31,90.44
125.00,-0.30,90.78
126.00,-0.28,91.10
127.00,-0.27,91.41
128.00,-0.25,91.74
129.00,-0.24,92.09
130.00,-0.22,92.44
131.00,-0.20,92.79
132.00,-0.19,93.17
133.00,-0.17,93.53
134.00,-0.15,93.95
135.00,-0.13,94.36
136.00,-0.11,94.76
137.00,-0.10,95.16
138.00,-0.08,95.59
139.00,-0.06,96.04
140.00,-0.04,96.49
141.00,-0.02,96.95
142.00,-0.00,97.44
143.00,0.02,97.90
144.00,0.03,98.41
145.00,0.05,98.91
146.00,0.07,99.44
147.00,0.09,100.00
148.00,0.11,100.56
149.00,0.13,101.13
150.00,0.15,101.70
151.00,0.18,102.32
152.00,0.20,102.98
153.00,0.22,103.70
154.00,0.24,104.43
155.00,0.27,105.16
156.00,0.29,105.85
157.00,0.31,106.56
158.00,0.33,107.23
159.00,0.36,107.93
