energy, R80,A,B,C
142.4,143.98,1.381E-06,-1.424E-03,2.571E+00

depth,sigma,idd
0.00,-0.80,64.06
1.00,-0.80,64.85
2.00,-0.80,65.40
3.00,-0.79,65.83
4.00,-0.79,66.21
5.00,-0.78,66.58
6.00,-0.78,66.87
7.00,-0.77,67.16
8.00,-0.77,67.47
9.00,-0.76,67.77
10.00,-0.76,68.03
11.00,-0.75,68.33
12.00,-0.75,68.61
13.00,-0.74,68.88
14.00,-0.74,69.17
15.00,-0.74,69.44
16.00,-0.73,69.68
17.00,-0.73,69.97
18.00,-0.72,70.16
19.00,-0.72,70.33
20.00,-0.72,70.59
21.00,-0.71,70.89
22.00,-0.71,71.14
23.00,-0.70,71.40
24.00,-0.70,71.60
25.00,-0.69,71.89
26.00,-0.69,72.17
27.00,-0.68,72.43
28.00,-0.68,72.69
29.00,-0.67,72.94
30.00,-0.67,73.18
31.00,-0.66,73.46
32.00,-0.66,73.70
33.00,-0.65,74.00
34.00,-0.65,74.22
35.00,-0.64,74.50
36.00,-0.64,74.76
37.00,-0.63,75.08
38.00,-0.63,75.31
39.00,-0.62,75.57
40.00,-0.62,75.83
41.00,-0.61,76.11
42.00,-0.61,76.38
43.00,-0.60,76.66
44.00,-0.59,76.98
45.00,-0.59,77.19
46.00,-0.58,77.46
47.00,-0.58,77.72
48.00,-0.57,78.01
49.00,-0.56,78.30
50.00,-0.56,78.58
51.00,-0.55,78.85
52.00,-0.54,79.13
53.00,-0.54,79.42
54.00,-0.53,79.69
55.00,-0.52,79.99
56.00,-0.51,80.33
57.00,-0.51,80.66
58.00,-0.50,80.93
59.00,-0.49,81.21
60.00,-0.48,81.53
61.00,-0.47,81.81
62.00,-0.47,82.11
63.00,-0.46,82.49
64.00,-0.45,82.81
65.00,-0.44,83.15
66.00,-0.43,83.49
67.00,-0.42,83.81
68.00,-0.41,84.11
69.00,-0.40,84.49
70.00,-0.39,84.82
71.00,-0.38,85.16
72.00,-0.37,85.48
73.00,-0.36,85.85
74.00,-0.35,86.23
75.00,-0.34,86.59
76.00,-0.33,86.96
77.00,-0.32,87.38
78.00,-0.31,87.82
79.00,-0.30,88.25
80.00,-0.29,88.69
81.00,-0.28,89.15
82.00,-0.27,89.61
83.00,-0.25,90.01
84.00,-0.24,90.47
85.00,-0.23,90.99
86.00,-0.22,91.50
87.00,-0.20,92.02
88.00,-0.19,92.53
89.00,-0.18,93.04
90.00,-0.16,93.55
91.00,-0.15,94.08
92.00,-0.14,94.64
93.00,-0.12,95.25
94.00,-0.11,95.91
95.00,-0.09,96.56
96.00,-0.08,97.21
97.00,-0.06,97.82
98.00,-0.05,98.48
99.00,-0.03,99.21
100.00,-0.01,100.02
101.00,0.00,100.85
102.00,0.02,101.69
103.00,0.04,102.53
104.00,0.05,103.30
105.00,0.07,104.17
106.00,0.09,105.12
107.00,0.11,106.13
108.00,0.13,107.22
109.00,0.14,108.30
110.00,0.16,109.43
111.00,0.18,110.54
112.00,0.20,111.64
113.00,0.22,112.81
114.00,0.24,114.13
