energy, R80,A,B,C
192.4,244.48,1.123E-06,-2.098E-03,4.629E+00

depth,sigma,idd
0.00,-1.48,64.11
1.00,-1.47,64.94
2.00,-1.47,65.52
3.00,-1.47,65.93
4.00,-1.46,66.25
5.00,-1.46,66.53
6.00,-1.45,66.81
7.00,-1.45,67.08
8.00,-1.45,67.33
9.00,-1.45,67.56
10.00,-1.44,67.82
11.00,-1.44,68.03
12.00,-1.44,68.23
13.00,-1.44,68.44
14.00,-1.43,68.62
15.00,-1.43,68.84
16.00,-1.43,68.99
17.00,-1.42,69.20
18.00,-1.42,69.36
19.00,-1.42,69.51
20.00,-1.42,69.68
21.00,-1.41,69.87
22.00,-1.41,70.01
23.00,-1.41,70.17
24.00,-1.41,70.30
25.00,-1.40,70.50
26.00,-1.40,70.64
27.00,-1.40,70.82
28.00,-1.40,70.98
29.00,-1.39,71.16
30.00,-1.39,71.28
31.00,-1.39,71.45
32.00,-1.39,71.61
33.00,-1.38,71.78
34.00,-1.38,71.94
35.00,-1.38,72.06
36.00,-1.37,72.23
37.00,-1.37,72.36
38.00,-1.37,72.53
39.00,-1.36,72.69
40.00,-1.36,72.91
41.00,-1.36,72.94
42.00,-1.35,73.13
43.00,-1.35,73.29
44.00,-1.35,73.44
45.00,-1.34,73.55
46.00,-1.34,73.66
47.00,-1.34,73.79
48.00,-1.33,73.89
49.00,-1.33,74.04
50.00,-1.33,74.13
51.00,-1.32,74.27
52.00,-1.32,74.43
53.00,-1.31,74.55
54.00,-1.31,74.69
55.00,-1.31,74.84
56.00,-1.30,74.97
57.00,-1.30,75.12
58.00,-1.29,75.24
59.00,-1.29,75.35
60.00,-1.29,75.47
61.00,-1.28,75.59
62.00,-1.28,75.73
63.00,-1.27,75.84
64.00,-1.27,75.98
65.00,-1.26,76.06
66.00,-1.26,76.24
67.00,-1.25,76.35
68.00,-1.25,76.46
69.00,-1.24,76.56
70.00,-1.23,76.68
71.00,-1.23,76.82
72.00,-1.22,76.93
73.00,-1.22,77.05
74.00,-1.21,77.19
75.00,-1.21,77.29
76.00,-1.20,77.48
77.00,-1.19,77.60
78.00,-1.19,77.75
79.00,-1.18,77.88
80.00,-1.17,77.98
81.00,-1.17,78.13
82.00,-1.16,78.24
83.00,-1.15,78.38
84.00,-1.15,78.52
85.00,-1.14,78.65
86.00,-1.13,78.76
87.00,-1.13,78.85
88.00,-1.12,79.00
89.00,-1.11,79.13
90.00,-1.10,79.28
91.00,-1.10,79.38
92.00,-1.09,79.47
93.00,-1.08,79.62
94.00,-1.07,79.75
95.00,-1.06,79.88
96.00,-1.06,79.95
97.00,-1.05,80.07
98.00,-1.04,80.19
99.00,-1.03,80.34
100.00,-1.02,80.50
