energy, R80,A,B,C
221.2,311.20,1.101E-06,-2.619E-03,6.036E+00

depth,sigma,idd
0.00,-1.98,64.00
1.00,-1.97,64.95
2.00,-1.97,65.58
3.00,-1.97,66.04
4.00,-1.96,66.37
5.00,-1.96,66.70
6.00,-1.96,66.92
7.00,-1.95,67.16
8.00,-1.95,67.37
9.00,-1.95,67.61
10.00,-1.95,67.79
11.00,-1.95,67.96
12.00,-1.94,68.15
13.00,-1.94,68.35
14.00,-1.94,68.50
15.00,-1.94,68.64
16.00,-1.93,68.78
17.00,-1.93,68.92
18.00,-1.93,69.09
19.00,-1.93,69.23
20.00,-1.93,69.36
21.00,-1.93,69.43
22.00,-1.92,69.57
23.00,-1.92,69.71
24.00,-1.92,69.81
25.00,-1.92,69.98
26.00,-1.92,70.08
27.00,-1.91,70.17
28.00,-1.91,70.32
29.00,-1.91,70.48
30.00,-1.91,70.59
31.00,-1.90,70.72
32.00,-1.90,70.86
33.00,-1.90,70.98
34.00,-1.90,71.16
35.00,-1.90,71.29
36.00,-1.89,71.41
37.00,-1.89,71.54
38.00,-1.89,71.68
39.00,-1.89,71.78
40.00,-1.89,71.92
41.00,-1.88,72.04
42.00,-1.88,72.14
43.00,-1.88,72.27
44.00,-1.88,72.43
45.00,-1.87,72.52
46.00,-1.87,72.65
47.00,-1.87,72.79
48.00,-1.86,72.94
49.00,-1.86,73.05
50.00,-1.86,73.16
51.00,-1.86,73.21
52.00,-1.85,73.42
53.00,-1.85,73.46
54.00,-1.85,73.55
55.00,-1.84,73.70
56.00,-1.84,73.81
57.00,-1.84,73.86
58.00,-1.83,73.93
59.00,-1.83,74.04
60.00,-1.83,74.14
61.00,-1.82,74.24
62.00,-1.82,74.30
63.00,-1.82,74.39
64.00,-1.81,74.53
65.00,-1.81,74.58
66.00,-1.81,74.66
67.00,-1.80,74.76
68.00,-1.80,74.85
69.00,-1.79,74.96
70.00,-1.79,75.00
71.00,-1.79,75.09
72.00,-1.78,75.18
73.00,-1.78,75.26
74.00,-1.77,75.31
75.00,-1.77,75.43
76.00,-1.76,75.51
77.00,-1.76,75.58
78.00,-1.76,75.67
79.00,-1.75,75.75
80.00,-1.74,75.85
81.00,-1.74,75.90
82.00,-1.74,76.01
83.00,-1.73,76.08
84.00,-1.73,76.12
85.00,-1.72,76.22
86.00,-1.71,76.26
87.00,-1.71,76.33
88.00,-1.70,76.44
89.00,-1.70,76.48
90.00,-1.69,76.58
91.00,-1.69,76.62
92.00,-1.68,76.67
93.00,-1.68,76.74
94.00,-1.67,76.83
95.00,-1.66,76.91
96.00,-1.66,77.00
97.00,-1.65,77.01
98.00,-1.64,77.10
99.00,-1.64,77.14
100.00,-1.63,77.26
101.00,-1.63,77.28
102.00,-1.62,77.33
103.00,-1.61,77.42
104.00,-1.60,77.46
105.00,-1.60,77.56
106.00,-1.59,77.64
107.00,-1.58,77.73
108.00,-1.58,77.82
109.00,-1.57,77.91
110.00,-1.56,77.96
111.00,-1.55,78.04
112.00,-1.55,78.07
113.00,-1.54,78.14
114.00,-1.53,78.23
115.00,-1.52,78.30
116.00,-1.51,78.37
117.00,-1.51,78.43
118.00,-1.50,78.49
119.00,-1.49,78.62
120.00,-1.48,78.70
121.00,-1.47,78.78
122.00,-1.46,78.84
123.00,-1.45,78.89
124.00,-1.44,78.97
125.00,-1.43,79.01
126.00,-1.43,79.10
127.00,-1.42,79.15
128.00,-1.41,79.25
129.00,-1.40,79.35
130.00,-1.39,79.43
131.00,-1.38,79.51
132.00,-1.37,79.60
133.00,-1.36,79.67
134.00,-1.35,79.74
135.00,-1.34,79.84
136.00,-1.33,79.89
137.00,-1.32,79.97
138.00,-1.31,80.06
139.00,-1.29,80.16
140.00,-1.28,80.24
141.00,-1.27,80.34
142.00,-1.26,80.44
143.00,-1.25,80.54
144.00,-1.24,80.67
145.00,-1.23,80.73
146.00,-1.22,80.85
147.00,-1.20,80.98
148.00,-1.19,81.10
149.00,-1.18,81.22
150.00,-1.17,81.30
151.00,-1.15,81.43
152.00,-1.14,81.52
153.00,-1.13,81.62
154.00,-1.11,81.72
155.00,-1.10,81.85
156.00,-1.09,81.96
157.00,-1.07,82.04
158.00,-1.06,82.13
159.00,-1.05,82.24
160.00,-1.03,82.34
161.00,-1.02,82.43
162.00,-1.01,82.55
163.00,-0.99,82.63
164.00,-0.98,82.72
165.00,-0.96,82.83
166.00,-0.95,82.96
167.00,-0.93,83.04
168.00,-0.92,83.14
169.00,-0.90,83.25
170.00,-0.89,83.36
171.00,-0.87,83.48
172.00,-0.86,83.59
173.00,-0.84,83.74
174.00,-0.83,83.84
175.00,-0.81,83.93
176.00,-0.80,84.04
177.00,-0.78,84.20
178.00,-0.76,84.33
179.00,-0.75,84.46
180.00,-0.73,84.58
181.00,-0.71,84.73
182.00,-0.70,84.87
183.00,-0.68,85.00
184.00,-0.66,85.13
185.00,-0.65,85.26
186.00,-0.63,85.39
187.00,-0.61,85.52
188.00,-0.59,85.65
189.00,-0.58,85.78
190.00,-0.56,85.94
191.00,-0.54,86.06
192.00,-0.52,86.17
193.00,-0.50,86.33
194.00,-0.48,86.49
195.00,-0.47,86.63
196.00,-0.45,86.79
197.00,-0.43,86.95
198.00,-0.41,87.12
199.00,-0.39,87.27
200.00,-0.37,87.46
201.00,-0.35,87.63
202.00,-0.33,87.79
203.00,-0.31,87.99
204.00,-0.29,88.15
205.00,-0.27,88.31
206.00,-0.25,88.50
207.00,-0.23,88.65
208.00,-0.21,88.83
209.00,-0.19,89.00
210.00,-0.17,89.17
211.00,-0.15,89.37
212.00,-0.13,89.58
213.00,-0.11,89.76
214.00,-0.08,89.99
215.00,-0.06,90.21
216.00,-0.04,90.42
217.00,-0.02,90.63
218.00,0.00,90.86
219.00,0.03,91.08
220.00,0.05,91.30
221.00,0.07,91.53
222.00,0.09,91.80
223.00,0.12,92.04
224.00,0.14,92.31
225.00,0.16,92.54
226.00,0.19,92.81
227.00,0.21,93.08
228.00,0.23,93.36
229.00,0.26,93.62
230.00,0.28,93.90
231.00,0.31,94.20
232.00,0.33,94.48
233.00,0.35,94.81
