energy, R80,A,B,C
154.5,166.26,1.256E-06,-1.504E-03,3.005E+00

depth,sigma,idd
0.00,-0.93,64.02
1.00,-0.93,64.80
2.00,-0.92,65.33
3.00,-0.92,65.75
4.00,-0.92,66.14
5.00,-0.91,66.45
6.00,-0.91,66.71
7.00,-0.90,67.00
8.00,-0.90,67.28
9.00,-0.89,67.53
10.00,-0.89,67.81
11.00,-0.89,68.06
12.00,-0.88,68.30
13.00,-0.88,68.52
14.00,-0.88,68.74
15.00,-0.87,69.03
16.00,-0.87,69.24
17.00,-0.87,69.50
18.00,-0.86,69.73
19.00,-0.86,69.96
20.00,-0.85,70.18
21.00,-0.85,70.42
22.00,-0.85,70.68
23.00,-0.84,70.88
24.00,-0.84,71.11
25.00,-0.84,71.32
26.00,-0.83,71.55
27.00,-0.83,71.79
28.00,-0.82,71.96
29.00,-0.82,72.18
30.00,-0.82,72.42
31.00,-0.81,72.60
32.00,-0.81,72.84
33.00,-0.80,73.10
34.00,-0.80,73.32
35.00,-0.80,73.53
36.00,-0.79,73.76
37.00,-0.79,73.94
38.00,-0.78,74.17
39.00,-0.78,74.37
40.00,-0.77,74.56
41.00,-0.77,74.82
42.00,-0.76,75.03
43.00,-0.76,75.26
44.00,-0.75,75.50
45.00,-0.74,75.73
46.00,-0.74,75.93
47.00,-0.74,76.16
48.00,-0.73,76.36
49.00,-0.72,76.54
50.00,-0.72,76.76
51.00,-0.71,76.97
52.00,-0.71,77.21
53.00,-0.70,77.43
54.00,-0.70,77.66
55.00,-0.69,77.92
56.00,-0.68,78.13
57.00,-0.68,78.38
58.00,-0.67,78.58
59.00,-0.66,78.78
60.00,-0.66,79.02
61.00,-0.65,79.28
62.00,-0.64,79.52
63.00,-0.64,79.77
64.00,-0.63,80.06
65.00,-0.62,80.30
66.00,-0.61,80.55
67.00,-0.60,80.78
68.00,-0.60,81.06
69.00,-0.59,81.31
70.00,-0.58,81.53
71.00,-0.57,81.75
72.00,-0.56,82.04
73.00,-0.56,82.31
74.00,-0.55,82.58
75.00,-0.54,82.84
76.00,-0.53,83.15
77.00,-0.52,83.41
78.00,-0.51,83.68
79.00,-0.50,83.97
80.00,-0.49,84.25
81.00,-0.48,84.55
82.00,-0.47,84.86
83.00,-0.46,85.18
84.00,-0.45,85.48
85.00,-0.44,85.78
86.00,-0.43,86.08
87.00,-0.42,86.34
88.00,-0.41,86.69
89.00,-0.39,87.04
90.00,-0.38,87.36
91.00,-0.37,87.70
92.00,-0.36,88.03
93.00,-0.35,88.37
94.00,-0.33,88.75
95.00,-0.32,89.09
96.00,-0.31,89.51
97.00,-0.30,89.92
98.00,-0.28,90.35
99.00,-0.27,90.75
100.00,-0.25,91.12
101.00,-0.24,91.51
102.00,-0.23,91.91
103.00,-0.21,92.39
104.00,-0.20,92.85
105.00,-0.18,93.32
106.00,-0.17,93.80
107.00,-0.15,94.29
108.00,-0.14,94.76
109.00,-0.12,95.20
110.00,-0.11,95.67
111.00,-0.09,96.18
112.00,-0.07,96.73
113.00,-0.06,97.33
114.00,-0.04,97.94
115.00,-0.02,98.57
116.00,-0.01,99.23
117.00,0.01,99.85
118.00,0.03,100.49
119.00,0.05,101.20
120.00,0.07,101.93
121.00,0.09,102.72
122.00,0.10,103.54
123.00,0.12,104.34
124.00,0.14,105.15
125.00,0.16,105.99
126.00,0.18,106.81
127.00,0.20,107.70
128.00,0.22,108.65
129.00,0.24,109.62
130.00,0.26,110.62
131.00,0.29,111.61
132.00,0.31,112.72
133.00,0.33,113.90
134.00,0.35,115.11
135.00,0.37,116.36
136.00,0.40,117.66
137.00,0.42,119.09
138.00,0.44,120.59
139.00,0.47,122.15
140.00,0.49,123.79
141.00,0.52,125.56
142.00,0.54,127.50
143.00,0.57,129.51
144.00,0.59,131.61
145.00,0.62,133.87
146.00,0.65,136.35
147.00,0.67,139.09
148.00,0.70,142.01
149.00,0.73,145.21
150.00,0.76,148.74
151.00,0.79,152.62
152.00,0.82,156.97
153.00,0.85,161.86
154.00,0.88,167.31
155.00,0.91,173.52
156.00,0.95,180.62
157.00,0.98,188.88
158.00,1.02,198.64
159.00,1.05,210.53
160.00,1.09,225.44
161.00,1.13,244.50
162.00,1.16,268.88
163.00,1.18,296.74
164.00,1.18,318.58
165.00,1.16,315.56
166.00,1.13,271.94
167.00,1.10,194.75
168.00,1.06,112.41
169.00,1.03,51.44
170.00,3.00,18.51
171.00,3.00,5.24
172.00,3.00,1.20
173.00,3.00,0.25
174.00,3.00,0.08
175.00,3.00,0.06
176.00,3.00,0.06
177.00,3.00,0.07
178.00,3.00,0.07
179.00,3.00,0.08
180.00,3.00,0.08
181.00,3.00,0.09
182.00,3.00,0.10
183.00,3.00,0.10
184.00,3.00,0.09
185.00,3.00,0.07
186.00,3.00,0.05
187.00,3.00,0.03
188.00,3.00,0.01
189.00,3.00,0.00
190.00,3.00,0.00
191.00,3.00,0.00
192.00,3.00,0.00
193.00,3.00,0.00
194.00,3.00,0.00
195.00,3.00,0.00
196.00,3.00,0.00
197.00,3.00,0.00
198.00,3.00,0.00
199.00,3.00,0.00
200.00,3.00,0.00
201.00,3.00,0.00
202.00,3.00,0.00
203.00,3.00,0.00
204.00,3.00,0.00
205.00,3.00,0.00
206.00,3.00,0.00
207.00,3.00,0.00
208.00,3.00,0.00
209.00,3.00,0.00
210.00,3.00,0.00
211.00,3.00,0.00
212.00,3.00,0.00
213.00,3.00,0.00
214.00,3.00,0.00
215.00,3.00,0.00
216.00,3.00,0.00
217.00,3.00,0.00
218.00,3.00,0.00
219.00,3.00,0.00
220.00,3.00,0.00
221.00,3.00,0.00
222.00,3.00,0.00
223.00,3.00,0.00
224.00,3.00,0.00
225.00,3.00,0.00
226.00,3.00,0.00
227.00,3.00,0.00
228.00,3.00,0.00
229.00,3.00,0.00
230.00,3.00,0.00
231.00,3.00,0.00
232.00,3.00,0.00
233.00,3.00,0.00
234.00,3.00,0.00
235.00,3.00,0.00
236.00,3.00,0.00
237.00,3.00,0.00
238.00,3.00,0.00
239.00,3.00,0.00
240.00,3.00,0.00
241.00,3.00,0.00
242.00,3.00,0.00
243.00,3.00,0.00
244.00,3.00,0.00
245.00,3.00,0.00
246.00,3.00,0.00
247.00,3.00,0.00
248.00,3.00,0.00
249.00,3.00,0.00
250.00,3.00,0.00
251.00,3.00,0.00
252.00,3.00,0.00
253.00,3.00,0.00
254.00,3.00,0.00
255.00,3.00,0.00
256.00,3.00,0.00
257.00,3.00,0.00
258.00,3.00,0.00
259.00,3.00,0.00
260.00,3.00,0.00
261.00,3.00,0.00
262.00,3.00,0.00
263.00,3.00,0.00
264.00,3.00,0.00
265.00,3.00,0.00
266.00,3.00,0.00
267.00,3.00,0.00
268.00,3.00,0.00
269.00,3.00,0.00
270.00,3.00,0.00
271.00,3.00,0.00
272.00,3.00,0.00
273.00,3.00,0.00
274.00,3.00,0.00
275.00,3.00,0.00
276.00,3.00,0.00
277.00,3.00,0.00
278.00,3.00,0.00
279.00,3.00,0.00
280.00,3.00,0.00
281.00,3.00,0.00
282.00,3.00,0.00
283.00,3.00,0.00
284.00,3.00,0.00
285.00,3.00,0.00
286.00,3.00,0.00
287.00,3.00,0.00
288.00,3.00,0.00
289.00,3.00,0.00
290.00,3.00,0.00
291.00,3.00,0.00
292.00,3.00,0.00
293.00,3.00,0.00
294.00,3.00,0.00
295.00,3.00,0.00
296.00,3.00,0.00
297.00,3.00,0.00
298.00,3.00,0.00
299.00,3.00,0.00
300.00,3.00,0.00
301.00,3.00,0.00
302.00,3.00,0.00
303.00,3.00,0.00
304.00,3.00,0.00
305.00,3.00,0.00
306.00,3.00,0.00
307.00,3.00,0.00
308.00,3.00,0.00
309.00,3.00,0.00
310.00,3.00,0.00
311.00,3.00,0.00
312.00,3.00,0.00
313.00,3.00,0.00
314.00,3.00,0.00
315.00,3.00,0.00
316.00,3.00,0.00
317.00,3.00,0.00
318.00,3.00,0.00
319.00,3.00,0.00
320.00,3.00,0.00
321.00,3.00,0.00
322.00,3.00,0.00
323.00,3.00,0.00
324.00,3.00,0.00
325.00,3.00,0.00
326.00,3.00,0.00
327.00,3.00,0.00
328.00,3.00,0.00
329.00,3.00,0.00
330.00,3.00,0.00
331.00,3.00,0.00
332.00,3.00,0.00
333.00,3.00,0.00
334.00,3.00,0.00
335.00,3.00,0.00
336.00,3.00,0.00
337.00,3.00,0.00
338.00,3.00,0.00
339.00,3.00,0.00
340.00,3.00,0.00
341.00,3.00,0.00
342.00,3.00,0.00
343.00,3.00,0.00
344.00,3.00,0.00
345.00,3.00,0.00
346.00,3.00,0.00
347.00,3.00,0.00
348.00,3.00,0.00
349.00,3.00,0.00
350.00,3.00,0.00
351.00,3.00,0.00
352.00,3.00,0.00
353.00,3.00,0.00
354.00,3.00,0.00
355.00,3.00,0.00
356.00,3.00,0.00
357.00,3.00,0.00
358.00,3.00,0.00
359.00,3.00,0.00
360.00,3.00,0.00
361.00,3.00,0.00
362.00,3.00,0.00
363.00,3.00,0.00
364.00,3.00,0.00
365.00,3.00,0.00
366.00,3.00,0.00
367.00,3.00,0.00
368.00,3.00,0.00
369.00,3.00,0.00
370.00,3.00,0.00
371.00,3.00,0.00
372.00,3.00,0.00
373.00,3.00,0.00
374.00,3.00,0.00
375.00,3.00,0.00
376.00,3.00,0.00
377.00,3.00,0.00
378.00,3.00,0.00
379.00,3.00,0.00
380.00,3.00,0.00
381.00,3.00,0.00
382.00,3.00,0.00
383.00,3.00,0.00
384.00,3.00,0.00
385.00,3.00,0.00
386.00,3.00,0.00
387.00,3.00,0.00
388.00,3.00,0.00
389.00,3.00,0.00
390.00,3.00,0.00
391.00,3.00,0.00
392.00,3.00,0.00
393.00,3.00,0.00
394.00,3.00,0.00
395.00,3.00,0.00
396.00,3.00,0.00
397.00,3.00,0.00
398.00,3.00,0.00
399.00,3.00,0.00
400.00,3.00,0.00
