energy, R80,A,B,C
200.3,262.16,1.424E-06,-3.260E-03,5.824E+00

depth,sigma,idd
0.00,-1.58,64.06
1.00,-1.58,64.92
2.00,-1.58,65.50
3.00,-1.58,65.90
4.00,-1.57,66.24
5.00,-1.57,66.51
6.00,-1.57,66.75
7.00,-1.56,67.00
8.00,-1.56,67.22
9.00,-1.56,67.45
10.00,-1.56,67.63
11.00,-1.55,67.84
12.00,-1.55,68.06
13.00,-1.55,68.22
14.00,-1.55,68.37
15.00,-1.54,68.57
16.00,-1.54,68.73
17.00,-1.54,68.90
18.00,-1.54,69.05
19.00,-1.54,69.24
20.00,-1.54,69.41
21.00,-1.53,69.58
22.00,-1.53,69.77
23.00,-1.53,69.91
24.00,-1.53,70.07
25.00,-1.52,70.21
26.00,-1.52,70.36
27.00,-1.52,70.54
28.00,-1.52,70.73
29.00,-1.51,70.88
30.00,-1.51,71.04
31.00,-1.51,71.17
32.00,-1.51,71.31
33.00,-1.50,71.54
34.00,-1.50,71.66
35.00,-1.50,71.79
36.00,-1.50,71.97
37.00,-1.49,72.13
38.00,-1.49,72.23
39.00,-1.49,72.41
40.00,-1.49,72.55
41.00,-1.48,72.73
42.00,-1.48,72.89
43.00,-1.48,73.01
44.00,-1.47,73.08
45.00,-1.47,73.31
46.00,-1.47,73.44
47.00,-1.46,73.57
48.00,-1.46,73.67
49.00,-1.46,73.79
50.00,-1.45,73.96
51.00,-1.45,74.08
52.00,-1.45,74.16
53.00,-1.44,74.27
54.00,-1.44,74.41
55.00,-1.44,74.49
56.00,-1.43,74.61
57.00,-1.43,74.75
58.00,-1.43,74.89
59.00,-1.42,75.00
60.00,-1.42,75.12
61.00,-1.41,75.23
62.00,-1.41,75.35
63.00,-1.40,75.48
64.00,-1.40,75.59
65.00,-1.40,75.69
66.00,-1.39,75.82
67.00,-1.39,75.92
68.00,-1.38,75.97
69.00,-1.38,76.07
70.00,-1.37,76.18
71.00,-1.37,76.31
72.00,-1.36,76.40
73.00,-1.36,76.52
74.00,-1.35,76.66
75.00,-1.35,76.80
76.00,-1.34,76.91
77.00,-1.34,77.00
78.00,-1.33,77.05
79.00,-1.33,77.17
80.00,-1.32,77.23
81.00,-1.32,77.39
82.00,-1.31,77.46
83.00,-1.30,77.56
84.00,-1.30,77.69
85.00,-1.29,77.83
86.00,-1.28,77.94
87.00,-1.28,78.06
88.00,-1.27,78.16
89.00,-1.26,78.30
90.00,-1.26,78.43
91.00,-1.25,78.55
92.00,-1.24,78.66
93.00,-1.24,78.75
94.00,-1.23,78.87
95.00,-1.22,78.97
96.00,-1.21,79.09
97.00,-1.21,79.17
98.00,-1.20,79.30
99.00,-1.19,79.44
100.00,-1.18,79.53
101.00,-1.17,79.65
102.00,-1.17,79.77
103.00,-1.16,79.89
104.00,-1.15,79.99
105.00,-1.14,80.11
106.00,-1.13,80.26
107.00,-1.12,80.34
108.00,-1.11,80.46
109.00,-1.10,80.58
110.00,-1.10,80.66
111.00,-1.09,80.75
112.00,-1.08,80.94
113.00,-1.07,81.07
114.00,-1.06,81.21
115.00,-1.05,81.37
116.00,-1.04,81.51
117.00,-1.03,81.64
118.00,-1.02,81.77
