energy, R80,A,B,C
158.7,174.86,9.039E-07,-4.527E-04,2.280E+00

depth,sigma,idd
0.00,-1.00,63.95
1.00,-1.00,64.73
2.00,-1.00,65.28
3.00,-0.99,65.66
4.00,-0.99,66.01
5.00,-0.98,66.33
6.00,-0.98,66.62
7.00,-0.97,66.87
8.00,-0.97,67.13
9.00,-0.97,67.42
10.00,-0.96,67.67
11.00,-0.96,67.91
12.00,-0.95,68.13
13.00,-0.95,68.38
14.00,-0.95,68.60
15.00,-0.94,68.82
16.00,-0.94,69.03
17.00,-0.93,69.27
18.00,-0.93,69.48
19.00,-0.93,69.73
20.00,-0.92,69.97
21.00,-0.92,70.14
22.00,-0.92,70.39
23.00,-0.91,70.59
24.00,-0.91,70.79
25.00,-0.90,71.01
26.00,-0.90,71.22
27.00,-0.90,71.46
28.00,-0.89,71.70
29.00,-0.89,71.80
30.00,-0.88,72.08
31.00,-0.88,72.31
32.00,-0.88,72.52
33.00,-0.87,72.77
34.00,-0.87,72.99
35.00,-0.86,73.22
36.00,-0.86,73.46
37.00,-0.85,73.65
38.00,-0.85,73.85
39.00,-0.85,74.07
40.00,-0.84,74.29
41.00,-0.84,74.50
42.00,-0.83,74.68
43.00,-0.83,74.88
44.00,-0.82,75.09
45.00,-0.81,75.31
46.00,-0.81,75.50
47.00,-0.80,75.74
48.00,-0.80,75.94
49.00,-0.79,76.13
50.00,-0.79,76.35
51.00,-0.78,76.54
52.00,-0.78,76.77
53.00,-0.77,76.99
54.00,-0.77,77.17
55.00,-0.76,77.39
56.00,-0.75,77.61
57.00,-0.75,77.87
58.00,-0.74,78.06
59.00,-0.73,78.29
60.00,-0.73,78.52
61.00,-0.72,78.71
62.00,-0.71,78.92
63.00,-0.71,79.16
64.00,-0.70,79.38
65.00,-0.69,79.63
66.00,-0.68,79.83
67.00,-0.68,80.06
68.00,-0.67,80.28
69.00,-0.66,80.53
70.00,-0.65,80.77
71.00,-0.65,81.02
72.00,-0.64,81.24
73.00,-0.63,81.48
74.00,-0.62,81.66
75.00,-0.61,81.94
76.00,-0.60,82.16
77.00,-0.59,82.41
78.00,-0.58,82.70
79.00,-0.58,82.98
80.00,-0.57,83.19
81.00,-0.56,83.43
82.00,-0.55,83.70
83.00,-0.54,83.95
84.00,-0.53,84.21
85.00,-0.52,84.48
86.00,-0.51,84.75
87.00,-0.50,85.02
88.00,-0.49,85.28
89.00,-0.48,85.54
90.00,-0.47,85.84
91.00,-0.45,86.11
92.00,-0.44,86.42
93.00,-0.43,86.78
94.00,-0.42,87.10
95.00,-0.41,87.39
96.00,-0.39,87.69
97.00,-0.38,88.04
98.00,-0.37,88.35
99.00,-0.36,88.70
100.00,-0.34,89.03
101.00,-0.33,89.40
102.00,-0.32,89.75
103.00,-0.30,90.13
104.00,-0.29,90.49
105.00,-0.28,90.84
106.00,-0.26,91.24
107.00,-0.25,91.65
108.00,-0.23,92.06
109.00,-0.22,92.46
110.00,-0.20,92.90
111.00,-0.19,93.35
112.00,-0.17,93.77
113.00,-0.16,94.21
114.00,-0.14,94.65
115.00,-0.13,95.12
116.00,-0.11,95.64
117.00,-0.09,96.16
118.00,-0.08,96.70
119.00,-0.06,97.30
120.00,-0.04,97.81
121.00,-0.02,98.38
122.00,-0.01,98.93
123.00,0.01,99.48
124.00,0.03,100.09
125.00,0.05,100.77
126.00,0.07,101.42
127.00,0.09,102.13
128.00,0.11,102.89
129.00,0.13,103.62
130.00,0.15,104.37
131.00,0.16,105.11
132.00,0.18,105.91
133.00,0.21,106.75
134.00,0.23,107.63
135.00,0.25,108.57
136.00,0.27,109.51
137.00,0.29,110.46
138.00,0.31,111.43
139.00,0.34,112.46
140.00,0.36,113.53
141.00,0.38,114.67
142.00,0.40,115.87
143.00,0.43,117.11
144.00,0.45,118.41
145.00,0.47,119.77
146.00,0.50,121.23
147.00,0.52,122.76
148.00,0.55,124.45
149.00,0.57,126.20
150.00,0.60,128.12
151.00,0.63,130.10
152.00,0.65,132.26
153.00,0.68,134.54
154.00,0.71,137.02
155.00,0.74,139.69
156.00,0.76,142.55
157.00,0.79,145.71
158.00,0.82,149.16
159.00,0.85,152.99
160.00,0.88,157.26
161.00,0.91,162.03
162.00,0.95,167.39
163.00,0.98,173.36
164.00,1.01,180.25
165.00,1.05,188.20
166.00,1.08,197.61
167.00,1.12,208.98
168.00,1.16,223.15
169.00,1.20,241.27
170.00,1.23,264.49
171.00,1.26,291.60
172.00,1.26,314.76
173.00,1.24,317.67
174.00,1.21,284.82
175.00,1.18,217.24
176.00,1.15,136.91
177.00,1.12,69.89
178.00,3.00,28.70
179.00,3.00,9.42
180.00,3.00,2.47
181.00,3.00,0.52
182.00,3.00,0.09
183.00,3.00,0.01
184.00,3.00,0.00
185.00,3.00,0.00
186.00,3.00,0.00
187.00,3.00,0.00
188.00,3.00,0.00
189.00,3.00,0.00
190.00,3.00,0.00
191.00,3.00,0.00
192.00,3.00,0.00
193.00,3.00,0.00
194.00,3.00,0.00
195.00,3.00,0.00
196.00,3.00,0.00
197.00,3.00,0.00
198.00,3.00,0.00
199.00,3.00,0.00
200.00,3.00,0.00
201.00,3.00,0.00
202.00,3.00,0.00
203.00,3.00,0.00
204.00,3.00,0.00
205.00,3.00,0.00
206.00,3.00,0.00
207.00,3.00,0.00
208.00,3.00,0.00
209.00,3.00,0.00
210.00,3.00,0.00
211.00,3.00,0.00
212.00,3.00,0.00
213.00,3.00,0.00
214.00,3.00,0.00
215.00,3.00,0.00
216.00,3.00,0.00
217.00,3.00,0.00
218.00,3.00,0.00
219.00,3.00,0.00
220.00,3.00,0.00
221.00,3.00,0.00
222.00,3.00,0.00
223.00,3.00,0.00
224.00,3.00,0.00
225.00,3.00,0.00
226.00,3.00,0.00
227.00,3.00,0.00
228.00,3.00,0.00
229.00,3.00,0.00
