energy, R80,A,B,C
117.7,102.44,1.486E-06,-6.139E-04,1.250E+00

depth,sigma,idd
0.00,-0.58,64.59
1.00,-0.57,65.27
2.00,-0.57,65.78
3.00,-0.56,66.26
4.00,-0.56,66.74
5.00,-0.55,67.21
6.00,-0.54,67.63
7.00,-0.54,68.06
8.00,-0.53,68.50
9.00,-0.53,68.99
10.00,-0.52,69.36
11.00,-0.52,69.41
12.00,-0.51,69.80
13.00,-0.50,70.19
14.00,-0.50,70.62
15.00,-0.49,71.04
16.00,-0.49,71.44
17.00,-0.48,71.59
18.00,-0.48,71.82
19.00,-0.47,72.31
20.00,-0.46,72.74
21.00,-0.46,72.88
22.00,-0.45,73.27
23.00,-0.45,73.64
24.00,-0.44,74.02
25.00,-0.43,74.38
26.00,-0.43,74.69
27.00,-0.42,75.09
28.00,-0.42,75.49
29.00,-0.41,75.90
30.00,-0.40,76.31
31.00,-0.40,76.72
32.00,-0.39,77.14
33.00,-0.38,77.54
34.00,-0.38,78.00
35.00,-0.37,78.41
36.00,-0.36,78.84
37.00,-0.36,79.31
38.00,-0.35,79.77
39.00,-0.34,80.20
40.00,-0.33,80.66
41.00,-0.33,81.15
42.00,-0.32,81.58
43.00,-0.31,82.08
44.00,-0.30,82.57
45.00,-0.29,82.99
46.00,-0.29,83.47
47.00,-0.28,84.01
48.00,-0.27,84.59
49.00,-0.26,85.13
50.00,-0.25,85.65
51.00,-0.24,86.24
52.00,-0.23,86.86
53.00,-0.22,87.46
54.00,-0.21,88.08
55.00,-0.20,88.67
56.00,-0.19,89.30
57.00,-0.18,90.00
58.00,-0.17,90.72
59.00,-0.16,91.45
60.00,-0.15,92.21
61.00,-0.14,92.98
62.00,-0.13,93.81
63.00,-0.11,94.71
64.00,-0.10,95.61
65.00,-0.09,96.49
66.00,-0.08,97.37
67.00,-0.06,98.39
68.00,-0.05,99.47
69.00,-0.04,100.54
70.00,-0.02,101.63
71.00,-0.01,102.72
72.00,0.00,103.97
73.00,0.02,105.33
74.00,0.03,106.73
75.00,0.05,108.10
76.00,0.06,109.49
77.00,0.08,111.08
78.00,0.10,112.86
79.00,0.11,114.73
80.00,0.13,116.58
81.00,0.15,118.52
82.00,0.16,120.71
83.00,0.18,123.13
