energy, R80,A,B,C
144.1,146.94,1.880E-06,-3.111E-03,3.992E+00

depth,sigma,idd
0.00,-0.80,64.32
1.00,-0.79,65.10
2.00,-0.79,65.67
3.00,-0.79,66.10
4.00,-0.78,66.49
5.00,-0.78,66.86
6.00,-0.77,67.19
7.00,-0.77,67.56
8.00,-0.76,67.80
9.00,-0.76,68.08
10.00,-0.76,68.32
11.00,-0.75,68.67
12.00,-0.75,68.86
13.00,-0.74,69.03
14.00,-0.74,69.35
15.00,-0.74,69.69
16.00,-0.73,69.93
17.00,-0.73,70.17
18.00,-0.72,70.35
19.00,-0.72,70.58
20.00,-0.72,70.62
21.00,-0.71,70.78
22.00,-0.71,71.00
23.00,-0.70,71.22
24.00,-0.70,71.49
25.00,-0.69,71.69
26.00,-0.69,71.98
27.00,-0.69,72.20
28.00,-0.68,72.44
29.00,-0.68,72.72
30.00,-0.67,72.92
31.00,-0.67,73.17
32.00,-0.66,73.40
33.00,-0.66,73.66
34.00,-0.66,73.91
35.00,-0.65,74.15
36.00,-0.65,74.40
37.00,-0.64,74.65
38.00,-0.64,74.88
39.00,-0.63,75.14
40.00,-0.63,75.40
41.00,-0.62,75.67
42.00,-0.62,75.98
43.00,-0.61,76.21
44.00,-0.60,76.47
45.00,-0.60,76.82
46.00,-0.59,77.11
47.00,-0.59,77.31
48.00,-0.58,77.58
49.00,-0.57,77.84
50.00,-0.57,78.09
51.00,-0.56,78.34
52.00,-0.56,78.63
53.00,-0.55,78.88
54.00,-0.54,79.15
55.00,-0.53,79.44
56.00,-0.53,79.72
57.00,-0.52,80.01
58.00,-0.51,80.32
59.00,-0.51,80.59
60.00,-0.50,80.95
61.00,-0.49,81.23
62.00,-0.48,81.53
63.00,-0.47,81.81
64.00,-0.47,82.14
65.00,-0.46,82.46
66.00,-0.45,82.76
67.00,-0.44,83.11
68.00,-0.43,83.42
69.00,-0.42,83.74
70.00,-0.41,84.08
71.00,-0.40,84.43
72.00,-0.39,84.77
73.00,-0.38,85.11
74.00,-0.38,85.44
75.00,-0.37,85.83
76.00,-0.36,86.23
77.00,-0.35,86.57
78.00,-0.33,86.96
79.00,-0.32,87.36
80.00,-0.31,87.76
81.00,-0.30,88.19
82.00,-0.29,88.62
83.00,-0.28,89.05
84.00,-0.27,89.46
85.00,-0.25,89.89
86.00,-0.24,90.36
87.00,-0.23,90.86
88.00,-0.22,91.38
89.00,-0.20,91.87
90.00,-0.19,92.42
91.00,-0.18,92.99
92.00,-0.16,93.51
93.00,-0.15,94.04
94.00,-0.14,94.65
95.00,-0.12,95.27
96.00,-0.11,95.92
97.00,-0.09,96.58
98.00,-0.08,97.23
99.00,-0.06,97.84
100.00,-0.05,98.50
101.00,-0.03,99.26
102.00,-0.01,100.05
103.00,0.00,100.81
104.00,0.02,101.57
105.00,0.04,102.37
106.00,0.05,103.14
107.00,0.07,103.93
108.00,0.09,104.78
109.00,0.11,105.75
110.00,0.12,106.78
111.00,0.14,107.83
112.00,0.16,108.87
113.00,0.18,109.95
114.00,0.20,110.99
115.00,0.22,112.10
116.00,0.24,113.36
117.00,0.26,114.71
118.00,0.28,116.12
119.00,0.30,117.59
120.00,0.33,119.17
121.00,0.35,120.86
122.00,0.37,122.66
123.00,0.39,124.51
124.00,0.42,126.54
125.00,0.44,128.72
126.00,0.46,131.08
127.00,0.49,133.56
128.00,0.51,136.26
129.00,0.54,139.18
130.00,0.56,142.41
131.00,0.59,145.97
132.00,0.62,149.90
133.00,0.65,154.27
134.00,0.67,159.18
135.00,0.70,164.73
136.00,0.73,171.06
137.00,0.76,178.30
138.00,0.80,186.76
139.00,0.83,196.84
140.00,0.86,209.27
141.00,0.90,225.06
142.00,0.94,245.91
143.00,0.97,273.41
144.00,0.98,305.47
145.00,0.97,327.81
146.00,0.95,312.94
147.00,0.91,245.80
148.00,0.88,149.94
149.00,0.85,68.76
150.00,3.00,23.31
151.00,3.00,5.80
152.00,3.00,1.08
153.00,3.00,0.16
154.00,3.00,0.02
155.00,3.00,0.01
156.00,3.00,0.01
157.00,3.00,0.01
158.00,3.00,0.01
159.00,3.00,0.01
160.00,3.00,0.01
161.00,3.00,0.02
162.00,3.00,0.02
163.00,3.00,0.02
164.00,3.00,0.02
165.00,3.00,0.01
166.00,3.00,0.01
167.00,3.00,0.00
168.00,3.00,0.00
169.00,3.00,0.00
170.00,3.00,0.00
171.00,3.00,0.00
172.00,3.00,0.00
173.00,3.00,0.00
174.00,3.00,0.00
175.00,3.00,0.00
176.00,3.00,0.00
177.00,3.00,0.00
178.00,3.00,0.00
179.00,3.00,0.00
180.00,3.00,0.00
181.00,3.00,0.00
182.00,3.00,0.00
183.00,3.00,0.00
184.00,3.00,0.00
185.00,3.00,0.00
186.00,3.00,0.00
187.00,3.00,0.00
188.00,3.00,0.00
189.00,3.00,0.00
190.00,3.00,0.00
191.00,3.00,0.00
192.00,3.00,0.00
193.00,3.00,0.00
194.00,3.00,0.00
195.00,3.00,0.00
196.00,3.00,0.00
197.00,3.00,0.00
198.00,3.00,0.00
199.00,3.00,0.00
200.00,3.00,0.00
201.00,3.00,0.00
202.00,3.00,0.00
203.00,3.00,0.00
204.00,3.00,0.00
205.00,3.00,0.00
206.00,3.00,0.00
207.00,3.00,0.00
208.00,3.00,0.00
209.00,3.00,0.00
