energy, R80,A,B,C
152.4,162.19,1.610E-06,-2.513E-03,3.704E+00

depth,sigma,idd
0.00,-0.90,63.99
1.00,-0.90,64.77
2.00,-0.90,65.34
3.00,-0.89,65.75
4.00,-0.89,66.11
5.00,-0.88,66.44
6.00,-0.88,66.73
7.00,-0.87,67.01
8.00,-0.87,67.30
9.00,-0.87,67.55
10.00,-0.86,67.81
11.00,-0.86,68.06
12.00,-0.85,68.31
13.00,-0.85,68.58
14.00,-0.85,68.80
15.00,-0.84,69.06
16.00,-0.84,69.31
17.00,-0.84,69.55
18.00,-0.83,69.77
19.00,-0.83,69.97
20.00,-0.83,70.20
21.00,-0.82,70.42
22.00,-0.82,70.65
23.00,-0.81,70.88
24.00,-0.81,71.10
25.00,-0.81,71.31
26.00,-0.80,71.52
27.00,-0.80,71.68
28.00,-0.79,71.97
29.00,-0.79,72.20
30.00,-0.79,72.42
31.00,-0.78,72.66
32.00,-0.78,72.87
33.00,-0.77,73.15
34.00,-0.77,73.40
35.00,-0.76,73.65
36.00,-0.76,73.90
37.00,-0.76,74.17
38.00,-0.75,74.39
39.00,-0.75,74.61
40.00,-0.74,74.81
41.00,-0.74,75.06
42.00,-0.73,75.32
43.00,-0.73,75.54
44.00,-0.72,75.81
45.00,-0.72,76.00
46.00,-0.71,76.23
47.00,-0.71,76.45
48.00,-0.70,76.70
49.00,-0.69,76.91
50.00,-0.69,77.13
51.00,-0.68,77.37
52.00,-0.68,77.58
53.00,-0.67,77.82
54.00,-0.66,78.03
55.00,-0.66,78.27
56.00,-0.65,78.54
57.00,-0.65,78.74
58.00,-0.64,78.94
59.00,-0.63,79.16
60.00,-0.62,79.40
61.00,-0.62,79.68
62.00,-0.61,79.91
63.00,-0.60,80.17
64.00,-0.60,80.44
65.00,-0.59,80.67
66.00,-0.58,80.95
67.00,-0.57,81.26
68.00,-0.56,81.51
69.00,-0.56,81.76
70.00,-0.55,82.09
71.00,-0.54,82.36
72.00,-0.53,82.63
73.00,-0.52,82.91
74.00,-0.51,83.21
75.00,-0.50,83.50
76.00,-0.49,83.75
77.00,-0.48,84.00
78.00,-0.47,84.30
79.00,-0.46,84.57
80.00,-0.45,84.90
81.00,-0.44,85.22
82.00,-0.43,85.54
83.00,-0.42,85.85
84.00,-0.41,86.15
85.00,-0.40,86.46
86.00,-0.39,86.82
87.00,-0.38,87.18
88.00,-0.37,87.54
89.00,-0.36,87.92
90.00,-0.34,88.29
91.00,-0.33,88.65
92.00,-0.32,89.04
93.00,-0.31,89.45
94.00,-0.29,89.87
95.00,-0.28,90.26
96.00,-0.27,90.68
97.00,-0.25,91.11
98.00,-0.24,91.55
99.00,-0.23,91.98
100.00,-0.21,92.45
101.00,-0.20,92.92
102.00,-0.18,93.38
103.00,-0.17,93.87
104.00,-0.15,94.41
105.00,-0.14,94.96
106.00,-0.12,95.53
107.00,-0.11,96.07
108.00,-0.09,96.56
109.00,-0.08,97.13
110.00,-0.06,97.75
111.00,-0.04,98.42
112.00,-0.03,99.04
113.00,-0.01,99.69
114.00,0.01,100.32
115.00,0.03,100.96
116.00,0.04,101.66
117.00,0.06,102.43
118.00,0.08,103.25
119.00,0.10,104.08
120.00,0.12,104.92
121.00,0.14,105.74
122.00,0.16,106.58
123.00,0.18,107.39
124.00,0.20,108.21
125.00,0.22,109.17
126.00,0.24,110.20
127.00,0.26,111.27
128.00,0.28,112.35
129.00,0.30,113.47
130.00,0.32,114.67
131.00,0.35,116.01
132.00,0.37,117.38
133.00,0.39,118.79
134.00,0.41,120.24
135.00,0.44,121.82
136.00,0.46,123.47
137.00,0.49,125.22
138.00,0.51,127.14
139.00,0.54,129.19
140.00,0.56,131.35
141.00,0.59,133.61
142.00,0.61,136.06
143.00,0.64,138.75
144.00,0.67,141.76
145.00,0.69,145.01
146.00,0.72,148.52
147.00,0.75,152.36
148.00,0.78,156.73
149.00,0.81,161.57
150.00,0.84,167.05
151.00,0.87,173.27
152.00,0.91,180.40
153.00,0.94,188.70
154.00,0.98,198.52
155.00,1.01,210.49
156.00,1.05,225.56
157.00,1.09,245.13
158.00,1.12,270.58
159.00,1.14,300.09
160.00,1.14,322.75
161.00,1.12,317.50
162.00,1.08,268.49
163.00,1.05,186.19
164.00,1.02,102.64
165.00,0.99,44.26
166.00,3.00,14.80
167.00,3.00,3.83
168.00,3.00,0.76
169.00,3.00,0.12
170.00,3.00,0.01
171.00,3.00,0.00
172.00,3.00,0.00
173.00,3.00,0.00
174.00,3.00,0.00
175.00,3.00,0.00
176.00,3.00,0.00
177.00,3.00,0.00
178.00,3.00,0.00
179.00,3.00,0.00
180.00,3.00,0.00
181.00,3.00,0.00
182.00,3.00,0.00
183.00,3.00,0.00
184.00,3.00,0.00
185.00,3.00,0.00
186.00,3.00,0.00
187.00,3.00,0.00
188.00,3.00,0.00
189.00,3.00,0.00
190.00,3.00,0.00
191.00,3.00,0.00
192.00,3.00,0.00
193.00,3.00,0.00
194.00,3.00,0.00
195.00,3.00,0.00
196.00,3.00,0.00
197.00,3.00,0.00
198.00,3.00,0.00
199.00,3.00,0.00
200.00,3.00,0.00
201.00,3.00,0.00
202.00,3.00,0.00
203.00,3.00,0.00
204.00,3.00,0.00
205.00,3.00,0.00
206.00,3.00,0.00
207.00,3.00,0.00
208.00,3.00,0.00
209.00,3.00,0.00
210.00,3.00,0.00
211.00,3.00,0.00
212.00,3.00,0.00
213.00,3.00,0.00
214.00,3.00,0.00
215.00,3.00,0.00
216.00,3.00,0.00
217.00,3.00,0.00
218.00,3.00,0.00
219.00,3.00,0.00
220.00,3.00,0.00
221.00,3.00,0.00
222.00,3.00,0.00
223.00,3.00,0.00
224.00,3.00,0.00
225.00,3.00,0.00
226.00,3.00,0.00
227.00,3.00,0.00
228.00,3.00,0.00
229.00,3.00,0.00
230.00,3.00,0.00
231.00,3.00,0.00
232.00,3.00,0.00
233.00,3.00,0.00
234.00,3.00,0.00
235.00,3.00,0.00
236.00,3.00,0.00
237.00,3.00,0.00
238.00,3.00,0.00
239.00,3.00,0.00
240.00,3.00,0.00
241.00,3.00,0.00
242.00,3.00,0.00
243.00,3.00,0.00
244.00,3.00,0.00
245.00,3.00,0.00
246.00,3.00,0.00
247.00,3.00,0.00
248.00,3.00,0.00
249.00,3.00,0.00
250.00,3.00,0.00
251.00,3.00,0.00
252.00,3.00,0.00
253.00,3.00,0.00
254.00,3.00,0.00
255.00,3.00,0.00
256.00,3.00,0.00
257.00,3.00,0.00
258.00,3.00,0.00
259.00,3.00,0.00
260.00,3.00,0.00
261.00,3.00,0.00
262.00,3.00,0.00
263.00,3.00,0.00
264.00,3.00,0.00
265.00,3.00,0.00
266.00,3.00,0.00
267.00,3.00,0.00
268.00,3.00,0.00
269.00,3.00,0.00
270.00,3.00,0.00
271.00,3.00,0.00
272.00,3.00,0.00
273.00,3.00,0.00
274.00,3.00,0.00
275.00,3.00,0.00
276.00,3.00,0.00
277.00,3.00,0.00
278.00,3.00,0.00
279.00,3.00,0.00
280.00,3.00,0.00
281.00,3.00,0.00
282.00,3.00,0.00
283.00,3.00,0.00
284.00,3.00,0.00
285.00,3.00,0.00
286.00,3.00,0.00
287.00,3.00,0.00
288.00,3.00,0.00
289.00,3.00,0.00
290.00,3.00,0.00
291.00,3.00,0.00
292.00,3.00,0.00
293.00,3.00,0.00
294.00,3.00,0.00
295.00,3.00,0.00
296.00,3.00,0.00
297.00,3.00,0.00
298.00,3.00,0.00
299.00,3.00,0.00
300.00,3.00,0.00
301.00,3.00,0.00
302.00,3.00,0.00
303.00,3.00,0.00
304.00,3.00,0.00
305.00,3.00,0.00
306.00,3.00,0.00
307.00,3.00,0.00
308.00,3.00,0.00
309.00,3.00,0.00
310.00,3.00,0.00
311.00,3.00,0.00
312.00,3.00,0.00
313.00,3.00,0.00
314.00,3.00,0.00
315.00,3.00,0.00
316.00,3.00,0.00
317.00,3.00,0.00
318.00,3.00,0.00
319.00,3.00,0.00
320.00,3.00,0.00
321.00,3.00,0.00
322.00,3.00,0.00
323.00,3.00,0.00
324.00,3.00,0.00
325.00,3.00,0.00
326.00,3.00,0.00
327.00,3.00,0.00
328.00,3.00,0.00
329.00,3.00,0.00
330.00,3.00,0.00
331.00,3.00,0.00
332.00,3.00,0.00
333.00,3.00,0.00
334.00,3.00,0.00
335.00,3.00,0.00
336.00,3.00,0.00
337.00,3.00,0.00
338.00,3.00,0.00
339.00,3.00,0.00
340.00,3.00,0.00
341.00,3.00,0.00
342.00,3.00,0.00
343.00,3.00,0.00
344.00,3.00,0.00
345.00,3.00,0.00
346.00,3.00,0.00
347.00,3.00,0.00
348.00,3.00,0.00
349.00,3.00,0.00
350.00,3.00,0.00
351.00,3.00,0.00
352.00,3.00,0.00
353.00,3.00,0.00
354.00,3.00,0.00
355.00,3.00,0.00
356.00,3.00,0.00
357.00,3.00,0.00
358.00,3.00,0.00
359.00,3.00,0.00
360.00,3.00,0.00
361.00,3.00,0.00
362.00,3.00,0.00
363.00,3.00,0.00
364.00,3.00,0.00
365.00,3.00,0.00
366.00,3.00,0.00
367.00,3.00,0.00
368.00,3.00,0.00
369.00,3.00,0.00
370.00,3.00,0.00
371.00,3.00,0.00
372.00,3.00,0.00
373.00,3.00,0.00
374.00,3.00,0.00
375.00,3.00,0.00
376.00,3.00,0.00
377.00,3.00,0.00
378.00,3.00,0.00
379.00,3.00,0.00
380.00,3.00,0.00
381.00,3.00,0.00
382.00,3.00,0.00
383.00,3.00,0.00
384.00,3.00,0.00
385.00,3.00,0.00
386.00,3.00,0.00
387.00,3.00,0.00
388.00,3.00,0.00
389.00,3.00,0.00
390.00,3.00,0.00
391.00,3.00,0.00
392.00,3.00,0.00
393.00,3.00,0.00
394.00,3.00,0.00
395.00,3.00,0.00
396.00,3.00,0.00
397.00,3.00,0.00
398.00,3.00,0.00
399.00,3.00,0.00
400.00,3.00,0.00
