energy, R80,A,B,C
116.4,100.44,2.170E-06,-2.831E-03,3.055E+00

depth,sigma,idd
0.00,-0.54,64.32
1.00,-0.54,64.95
2.00,-0.54,65.54
3.00,-0.53,66.05
4.00,-0.52,66.51
5.00,-0.52,66.92
6.00,-0.51,67.31
7.00,-0.51,67.72
8.00,-0.50,68.12
9.00,-0.50,68.52
10.00,-0.49,68.88
11.00,-0.49,69.15
12.00,-0.48,69.52
13.00,-0.48,69.88
14.00,-0.47,70.24
15.00,-0.47,70.61
16.00,-0.46,70.98
17.00,-0.45,71.33
18.00,-0.45,71.79
19.00,-0.44,72.18
20.00,-0.44,72.57
21.00,-0.43,73.00
22.00,-0.43,73.42
23.00,-0.42,73.82
24.00,-0.42,74.23
25.00,-0.41,74.64
26.00,-0.40,75.04
27.00,-0.40,75.44
28.00,-0.39,75.89
29.00,-0.38,76.25
30.00,-0.38,76.66
31.00,-0.37,77.11
32.00,-0.37,77.55
33.00,-0.36,77.98
34.00,-0.35,78.42
35.00,-0.35,78.86
36.00,-0.34,79.34
37.00,-0.33,79.84
38.00,-0.33,80.29
39.00,-0.32,80.76
40.00,-0.31,81.24
41.00,-0.30,81.73
42.00,-0.30,82.26
43.00,-0.29,82.75
44.00,-0.28,83.27
45.00,-0.27,83.75
46.00,-0.26,84.29
47.00,-0.26,84.87
48.00,-0.25,85.51
49.00,-0.24,86.08
50.00,-0.23,86.61
51.00,-0.22,87.22
52.00,-0.21,87.88
53.00,-0.20,88.54
54.00,-0.19,89.20
55.00,-0.18,89.87
56.00,-0.17,90.61
57.00,-0.16,91.37
58.00,-0.15,92.10
59.00,-0.14,92.87
60.00,-0.13,93.60
61.00,-0.12,94.44
62.00,-0.11,95.31
63.00,-0.09,96.23
64.00,-0.08,97.12
65.00,-0.07,98.01
66.00,-0.06,99.02
67.00,-0.04,100.13
68.00,-0.03,101.25
69.00,-0.02,102.40
70.00,-0.00,103.57
71.00,0.01,104.91
72.00,0.02,106.34
73.00,0.04,107.78
74.00,0.05,109.25
75.00,0.07,110.78
76.00,0.08,112.47
77.00,0.10,114.37
78.00,0.12,116.26
79.00,0.13,118.18
80.00,0.15,120.35
81.00,0.17,122.76
82.00,0.19,125.36
83.00,0.21,128.21
84.00,0.23,131.31
85.00,0.25,134.75
86.00,0.27,138.54
87.00,0.29,142.72
88.00,0.31,147.49
89.00,0.33,152.93
90.00,0.35,159.21
91.00,0.38,166.48
92.00,0.40,175.02
93.00,0.43,185.29
94.00,0.45,198.07
95.00,0.48,214.70
96.00,0.51,237.58
97.00,0.53,270.62
98.00,0.54,315.54
99.00,0.51,344.83
100.00,0.48,288.20
101.00,0.44,151.61
102.00,0.41,45.32
103.00,3.00,7.48
104.00,3.00,0.68
105.00,3.00,0.04
106.00,3.00,0.00
107.00,3.00,0.00
108.00,3.00,0.00
109.00,3.00,0.00
110.00,3.00,0.00
111.00,3.00,0.00
112.00,3.00,0.00
113.00,3.00,0.00
114.00,3.00,0.00
115.00,3.00,0.00
116.00,3.00,0.00
117.00,3.00,0.00
118.00,3.00,0.00
119.00,3.00,0.00
120.00,3.00,0.00
121.00,3.00,0.00
122.00,3.00,0.00
123.00,3.00,0.00
124.00,3.00,0.00
125.00,3.00,0.00
126.00,3.00,0.00
127.00,3.00,0.00
128.00,3.00,0.00
129.00,3.00,0.00
130.00,3.00,0.00
131.00,3.00,0.00
132.00,3.00,0.00
133.00,3.00,0.00
134.00,3.00,0.00
135.00,3.00,0.00
136.00,3.00,0.00
137.00,3.00,0.00
138.00,3.00,0.00
139.00,3.00,0.00
140.00,3.00,0.00
141.00,3.00,0.00
142.00,3.00,0.00
143.00,3.00,0.00
144.00,3.00,0.00
